ibge_code,GWh_aquaculture,GWh_cattle,GWh_citrus,GWh_coffee,GWh_corn,GWh_forestry,GWh_poultry,GWh_rpo_pruning,GWh_rsu_organic,GWh_soybean,GWh_sugarcane,GWh_swine,codigo_municipio,populacao_2022,area_km2,densidade_demografica,cd_rgi,nm_rgi,cd_rgint,nm_rgint,lat,lon,categoria_potencial,mun_potential_class,mun_total_GWh,mun_n_streams,mun_dominant_stream
3500105,0.0,55.4064,0.0,1.7833,2.4616,0.3258,0.5002,0.243,12.1179,2.4033,226.9022,4.6221,3500105,34687.0,411.987,84.19440419236528,350019,Adamantina - Lucélia,3505,Presidente Prudente,-21.576682210920264,-51.056802358755256,MÉDIO,MÉDIO,306.7658,10,sugarcane
3500204,0.0,4.8055,9.5583,0.0,2.6045,0.0102,0.0099,0.0305,1.52,8.0308,161.3374,0.9812,3500204,4351.0,211.055,20.615479377413468,350025,São José do Rio Preto,3507,São José do Rio Preto,-21.288685099671543,-49.653283445580875,SEM DADOS,MÉDIO,188.88830000000002,10,sugarcane
3500303,0.0,5.8571,49.5928,2.1326,113.4199,7.4588,5.0099,0.2247,11.2043,28.3092,278.3425,9.0926,3500303,32072.0,474.554,67.58345730938944,350044,São João da Boa Vista,3510,Campinas,-22.049956302083515,-47.04031989294538,SEM DADOS,ALTO,510.64439999999996,11,sugarcane
3500402,0.0,17.2345,0.0,3.8016,8.0654,1.1463,0.0523,0.0516,2.5744,0.4816,0.0,0.2273,3500402,7369.0,142.673,51.64957630385567,350044,São João da Boa Vista,3510,Campinas,-21.913710333867165,-46.691677607834755,BAIXO,BAIXO,33.635,9,cattle
3500501,0.0004,6.0846,0.065,1.2981,0.9746,0.6093,0.9422,0.1256,6.2638,0.0,0.0,0.1515,3500501,17930.0,60.126,298.2070984266374,350048,Amparo,3510,Campinas,-22.474823173496965,-46.6036720808946,SEM DADOS,BAIXO,16.5151,10,rsu_organic
3500550,0.0001,12.9959,44.5251,0.2163,78.1337,63.0299,10.1527,0.0503,2.5073,102.0286,95.5924,45.073,3500550,7177.0,404.463,17.744515567555005,350007,Avaré,3502,Sorocaba,-22.85795483690765,-49.26103703543736,SEM DADOS,MÉDIO,454.3053,12,soybean
3500600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195,0.9712,0.0,0.0,0.0,3500600,2780.0,3.612,769.656699889258,350040,Piracicaba,3510,Campinas,-22.598649693262153,-47.87608964724377,SEM DADOS,BAIXO,0.9906999999999999,2,rsu_organic
3500709,0.0,40.932,13.2973,0.0,0.0,162.8375,3.335,0.264,13.1635,17.0052,179.0951,109.8694,3500709,37680.0,966.708,38.97764371454462,350009,Bauru,3503,Bauru,-22.57193420521978,-49.10876753978452,MÉDIO,ALTO,539.799,9,sugarcane
3500758,0.0,11.263,3.0287,0.0,17.307,24.0788,5.9502,0.043,2.1454,16.7594,4.4985,72.3623,3500758,6141.0,159.6,38.47744360902256,350006,Itapetininga,3502,Sorocaba,-23.54892702783309,-47.869055054270746,SEM DADOS,MÉDIO,157.4363,10,swine
3500808,0.0,33.3098,0.0,0.0,1.3722,0.0,0.0307,0.0311,1.5529,0.0,0.0,1.6859,3500808,4445.0,118.915,37.37964091998486,350018,Presidente Prudente,3505,Presidente Prudente,-21.934972952987927,-51.39565497565409,MÉDIO,BAIXO,37.982600000000005,6,cattle
3500907,0.0,51.8652,21.3307,0.0,10.0818,0.0024,0.0875,0.0242,1.2056,13.2699,359.8771,8.7896,3500907,3451.0,313.007,11.025312532946547,350025,São José do Rio Preto,3507,São José do Rio Preto,-20.533337784910675,-49.093860814913334,SEM DADOS,MÉDIO,466.534,11,sugarcane
3501004,0.0,24.2361,5.2698,61.4122,36.79,141.3247,6.8793,0.1178,5.8753,21.1385,480.8543,1.5912,3501004,16818.0,928.956,18.104194385955847,350031,Ribeirão Preto,3508,Ribeirão Preto,-21.018047253190506,-47.38624830511379,BAIXO,ALTO,785.4892,11,sugarcane
3501103,0.0,32.8278,0.0,0.1144,1.8399,0.5103,0.0702,0.0269,1.3418,2.8309,234.9773,1.3525,3501103,3841.0,318.574,12.056853352753206,350023,Birigui - Penápolis,3506,Araçatuba,-21.612539783313004,-50.19211677311356,BAIXO,MÉDIO,275.892,10,sugarcane
3501152,0.0,1.0502,0.0,0.0,4.3688,0.0,0.0,0.1212,6.0441,0.0,0.0,0.341,3501152,17301.0,83.619,206.90273741613748,350003,Sorocaba,3502,Sorocaba,-23.533000388576102,-47.28124763233842,SEM DADOS,BAIXO,11.925300000000002,5,rsu_organic
3501202,0.0,59.5171,1.4792,0.0155,5.797,1.7901,20.937,0.0274,1.3677,15.9239,175.0184,3.2203,3501202,3915.0,362.411,10.8026522373769,350027,Votuporanga,3507,São José do Rio Preto,-20.289554435261646,-49.920251463230436,SEM DADOS,MÉDIO,285.09360000000004,11,sugarcane
3501301,0.0,70.8865,0.0,0.0,6.5111,0.0,0.1092,0.1909,9.5215,0.4325,22.1811,6.63,3501301,27255.0,347.647,78.39849042275642,350018,Presidente Prudente,3505,Presidente Prudente,-22.1315046738704,-51.51492033095594,MÉDIO,MÉDIO,116.4628,8,cattle
3501400,0.0,14.9658,0.0,2.5498,3.5006,4.3968,0.0014,0.0337,1.6797,0.7372,0.0,0.0947,3501400,4808.0,153.662,31.289453475810543,350013,Marília,3504,Marília,-22.08652416308833,-49.73398937637143,BAIXO,BAIXO,27.959699999999998,9,cattle
3501509,0.0,8.3816,2.4644,4.874,1.5123,8.4795,0.0,0.0202,1.0079,0.7372,0.0,0.0455,3501509,2885.0,84.879,33.98956161123481,350013,Marília,3504,Marília,-22.45255221199713,-49.758530644093575,BAIXO,BAIXO,27.5226,9,forestry
3501608,0.0,1.0974,0.0,0.0,0.0,0.0,0.0,1.6619,82.8795,0.0,5.3982,0.0,3501608,237240.0,133.912,1771.6112073600573,350038,Campinas,3510,Campinas,-22.723242943243676,-47.28911884357989,MÉDIO,BAIXO,91.03699999999999,4,rsu_organic
3501707,0.0,0.3164,1.0096,0.0371,0.6161,0.0,0.0161,0.2313,11.5351,0.0,188.9355,0.3789,3501707,33019.0,122.958,268.5388506644545,350036,Araraquara,3509,Araraquara,-21.72232779835966,-48.0323773429233,SEM DADOS,MÉDIO,203.0761,9,sugarcane
3501806,0.0,30.9104,1.5317,0.0464,3.3606,0.4554,4.4865,0.0411,2.0507,3.5386,168.6924,1.8943,3501806,5870.0,252.876,23.212958129676206,350027,Votuporanga,3507,São José do Rio Preto,-20.28938610904005,-49.76801794717493,BAIXO,MÉDIO,217.0081,11,sugarcane
3501905,0.0057,36.5305,4.9509,4.9142,22.0791,23.6091,62.2128,0.4764,23.7585,3.8827,22.6048,6.4406,3501905,68008.0,445.323,152.71611841292724,350048,Amparo,3510,Campinas,-22.699128789672308,-46.79872856370018,MÉDIO,MÉDIO,211.4653,12,poultry
3502002,0.0,15.2149,7.689,1.533,7.6369,21.5128,4.3968,0.0321,1.6032,5.5144,191.1847,9.4715,3502002,4589.0,325.953,14.078716870223623,350046,Rio Claro,3510,Campinas,-22.121084615402694,-47.67795534865884,SEM DADOS,MÉDIO,265.78929999999997,11,sugarcane
3502101,0.0,70.0019,0.0,0.0,13.2743,0.0,0.1324,0.4188,20.8851,0.199,793.3126,58.7233,3502101,59783.0,964.226,62.00102465604537,350024,Andradina,3506,Araçatuba,-20.835600180438853,-51.32971778270221,SEM DADOS,ALTO,956.9474,8,sugarcane
3502200,0.0,59.7365,43.427,0.0371,172.9023,199.2162,34.295,0.1683,8.3921,77.4079,0.0,17.9959,3502200,24022.0,1027.288,23.38390013316616,350006,Itapetininga,3502,Sorocaba,-23.436841876689716,-48.45933416351353,MÉDIO,ALTO,613.5783,10,forestry
3502309,0.0,43.423,34.7493,0.0,8.3455,42.2404,0.8973,0.0397,1.9822,2.5803,298.7824,7.5772,3502309,5674.0,736.557,7.703409240561151,350011,Botucatu,3503,Bauru,-22.800067361899604,-48.174731117996586,SEM DADOS,MÉDIO,440.6173,10,sugarcane
3502408,0.0,36.2531,0.0,0.3709,11.7061,1.2562,0.181,0.0282,1.4054,3.5583,182.1878,2.5762,3502408,4023.0,320.84,12.538960229397832,350018,Presidente Prudente,3505,Presidente Prudente,-22.362024282318536,-51.42777944453858,MÉDIO,MÉDIO,239.5232,10,sugarcane
3502507,0.0,6.1748,0.0,0.0,0.0,0.0,0.0105,0.2282,11.3779,0.0,0.0,1.0608,3502507,32569.0,120.89,269.4102076267681,350052,Guaratinguetá,3511,São José dos Campos,-22.914206040127134,-45.23721921739436,SEM DADOS,BAIXO,18.8522,5,rsu_organic
3502606,0.0,29.7565,1.4099,0.0,1.123,1.8843,0.044,0.0286,1.4274,0.2654,31.5455,2.1065,3502606,4086.0,179.004,22.82630555741771,350028,Jales,3507,São José do Rio Preto,-20.478803390485268,-50.921977259459666,SEM DADOS,BAIXO,69.5911,10,sugarcane
3502705,0.0,8.0316,0.0313,0.0,100.8177,20.9271,0.3739,0.1722,8.5887,11.0583,0.0,3.7886,3502705,24585.0,974.322,25.232931207547402,350004,Itapeva,3502,Sorocaba,-24.4214703338988,-48.81735731705966,MÉDIO,MÉDIO,153.7894,9,corn
3502754,0.0,2.6929,0.0511,0.0,2.0164,0.0,0.0,0.1508,7.5187,0.0,0.0,0.4167,3502754,21522.0,145.204,148.21905732624444,350003,Sorocaba,3502,Sorocaba,-23.434433886245838,-47.07237501418517,SEM DADOS,BAIXO,12.846599999999999,6,rsu_organic
3502804,0.0,84.0197,0.0,0.1854,34.5076,0.0,0.8435,1.4019,69.9131,51.9469,685.0899,4.1675,3502804,200124.0,1167.126,171.4673479984166,350022,Araçatuba,3506,Araçatuba,-21.113857858686057,-50.57449809284505,MÉDIO,ALTO,932.0754999999999,9,sugarcane
3502903,0.0,6.1937,2.9172,0.0247,17.9231,6.3282,1.1665,0.2273,11.3339,18.4305,7.5912,37.886,3502903,32443.0,255.305,127.07545876500656,350003,Sorocaba,3502,Sorocaba,-23.54386392339011,-47.65153572243858,BAIXO,MÉDIO,110.0223,11,swine
3503000,0.0,2.3603,0.0,0.0,2.7333,0.0,1.3056,0.038,1.8935,17.0371,235.7488,1.9132,3503000,5420.0,202.829,26.722017068565144,350035,Ituverava,3508,Ribeirão Preto,-20.145046042174975,-47.820643772479904,SEM DADOS,MÉDIO,263.02979999999997,8,sugarcane
3503109,0.0129,12.732,13.2942,6.1196,16.2148,0.0,0.0371,0.0482,2.4053,61.9263,0.8435,63.0423,3503109,6885.0,285.908,24.081172964729912,350007,Avaré,3502,Sorocaba,-23.17769653998183,-49.06403335763393,SEM DADOS,MÉDIO,176.6762,11,swine
3503158,0.0,10.233,0.024,0.0,0.3025,0.0,0.0314,0.0163,0.814,0.0,1.0782,0.4546,3503158,2330.0,156.903,14.849939134369643,350053,Cruzeiro,3511,São José dos Campos,-22.672911262350695,-44.438589391645735,SEM DADOS,BAIXO,12.954,9,cattle
3503208,0.0,13.4335,0.1775,0.2936,12.2689,18.4507,8.4496,1.6968,84.6221,29.4887,877.2005,3.1786,3503208,242228.0,1003.625,241.3530950305144,350036,Araraquara,3509,Araraquara,-21.791649699520345,-48.18132248290114,SEM DADOS,MUITO ALTO,1049.2605,11,sugarcane
3503307,0.0,10.7608,5.1078,0.9056,91.0271,1.0992,0.0,0.9167,45.7179,30.4029,764.7389,7.778,3503307,130866.0,644.831,202.94619830622287,350045,Araras,3510,Campinas,-22.346158924154274,-47.3238560060625,BAIXO,ALTO,958.4549,10,sugarcane
3503356,0.0008,27.9738,0.0,0.0216,3.1506,0.0196,0.0079,0.0143,0.7141,0.0,25.6041,0.4167,3503356,2044.0,264.904,7.7160027783649925,350016,Tupã,3504,Marília,-21.766339477818203,-50.430942765825726,BAIXO,BAIXO,57.9235,10,cattle
3503406,0.018,50.6036,8.3766,0.0,0.0784,7.3811,7.6271,0.057,2.8402,16.8504,193.9963,45.4632,3503406,8130.0,506.226,16.060020623199915,350009,Bauru,3503,Bauru,-22.07629656285949,-48.98189311028061,SEM DADOS,MÉDIO,333.2919,11,sugarcane
3503505,0.0,22.2164,0.0,0.0,0.7421,0.0,0.0224,0.0251,1.2496,0.0,0.5061,0.538,3503505,3577.0,305.227,11.719146733414803,350053,Cruzeiro,3511,São José dos Campos,-22.673131485374093,-44.7123536337979,SEM DADOS,BAIXO,25.2997,8,cattle
3503604,0.0,0.373,0.0,0.2936,0.5321,0.0,0.0,0.071,3.5389,0.0,166.7243,0.0,3503604,10130.0,85.907,117.91821388245428,350011,Botucatu,3503,Bauru,-22.631820225293378,-48.65284535933039,BAIXO,MÉDIO,171.5329,6,sugarcane
3503703,0.0,0.3972,0.0,0.0,0.0,0.0,2.1311,0.0533,2.6557,4.4233,193.434,0.1515,3503703,7602.0,132.624,57.319942091929065,350026,Catanduva,3507,São José do Rio Preto,-21.185665399725785,-48.779212611261435,SEM DADOS,MÉDIO,203.2461,7,sugarcane
3503802,0.0,9.0374,6.8794,0.0,38.8148,18.2152,5.2791,0.3605,17.9761,0.6021,89.9693,6.0618,3503802,51456.0,178.026,289.03643288059044,350038,Campinas,3510,Campinas,-22.561197661913383,-47.132152756632664,SEM DADOS,MÉDIO,193.19570000000002,10,sugarcane
3503901,0.0,0.303,0.0,0.0,0.0,0.0,0.0042,0.6072,30.2809,0.0,0.0,0.0,3503901,86678.0,96.167,901.3278983435066,350001,São Paulo,3501,São Paulo,-23.386018416558304,-46.31905102007587,BAIXO,BAIXO,31.1953,4,rsu_organic
3503950,0.0,9.4925,6.8819,0.0,0.0112,0.6203,0.0356,0.0129,0.6435,0.0,26.5691,1.1176,3503950,1842.0,69.373,26.55211681778213,350028,Jales,3507,São José do Rio Preto,-20.18355892573557,-50.72803036687422,MÉDIO,BAIXO,45.3846,9,sugarcane
3504008,0.0004,22.351,0.0,0.0155,132.1551,1.619,0.2094,0.7104,35.4271,79.1281,262.879,3.2582,3504008,101409.0,460.609,220.1628713290448,350014,Assis,3504,Marília,-22.601741217450815,-50.420762735351424,BAIXO,ALTO,537.7532,11,sugarcane
3504107,0.0004,16.8306,0.0,0.0031,11.342,10.2146,1.645,1.1113,55.4231,14.7444,0.984,0.0,3504107,158647.0,478.521,331.5361290309098,350041,Bragança Paulista,3510,Campinas,-23.123261991951374,-46.586787411797644,SEM DADOS,MÉDIO,112.2985,10,rsu_organic
