ibge_code,GWh_aquaculture,GWh_cattle,GWh_citrus,GWh_coffee,GWh_corn,GWh_forestry,GWh_poultry,GWh_rpo_pruning,GWh_rsu_organic,GWh_soybean,GWh_sugarcane,GWh_swine,codigo_municipio,populacao,populacao_ano,area_km2,densidade_demografica,cd_rgi,nm_rgi,cd_rgint,nm_rgint,lat,lon,categoria_potencial,mun_potential_class,mun_total_GWh,mun_n_streams,mun_dominant_stream
3171204,0.0,1.1871,0.0,0.0,0.0691,0.0,0.6575,0.9672,48.4138,0.0,0.0,4.3376,3171204,138583.0,2025,70.456,1966.943908,310001,Belo Horizonte,3101,Belo Horizonte,-19.7308299,-43.94232725,BAIXO,BAIXO,55.6323,6,rsu_organic
3168309,0.0,5.5483,0.0,0.0,0.0461,2.4414,3.0729,0.0307,1.535,0.0,0.809,20.2725,3168309,4394.0,2025,329.287,13.343983,310001,Belo Horizonte,3101,Belo Horizonte,-19.63009,-43.68006716,BAIXO,BAIXO,33.7559,8,swine
3165537,0.0,1.0469,0.0,0.0,0.5804,0.0,0.5798,0.279,13.9649,0.0,0.0,3.8253,3165537,39974.0,2025,62.134,643.351466,310001,Belo Horizonte,3101,Belo Horizonte,-20.058218,-44.1170615,BAIXO,BAIXO,20.2763,6,rsu_organic
3162955,0.0,0.811,0.0,0.0,0.2395,0.0,0.4492,0.196,9.8122,0.0,0.0,2.9634,3162955,28087.0,2025,48.135,583.504726,310001,Belo Horizonte,3101,Belo Horizonte,-19.69617535,-43.98649794,BAIXO,BAIXO,14.4713,6,rsu_organic
3162922,0.0,1.2131,0.0,0.0,0.0461,0.0,0.6719,0.2583,12.9318,0.0,0.0,4.4324,3162922,37017.0,2025,71.995,514.160706,310001,Belo Horizonte,3101,Belo Horizonte,-20.0626535,-44.24895864,BAIXO,BAIXO,19.5536,6,rsu_organic
3157807,0.0,3.9624,0.0,0.0,0.0207,1.0468,2.1946,1.6078,80.4837,0.0,0.1398,14.4779,3157807,230382.0,2025,235.166,979.656923,310001,Belo Horizonte,3101,Belo Horizonte,-19.72662315,-43.83520402,MÉDIO,MÉDIO,103.9337,8,rsu_organic
3156700,0.0,5.0961,0.0,0.0279,0.0553,0.901,2.8225,0.9392,47.014,0.0,0.1998,18.6204,3156700,134576.0,2025,302.453,444.948471,310001,Belo Horizonte,3101,Belo Horizonte,-19.8460181,-43.82566751,BAIXO,BAIXO,75.6762,9,rsu_organic
3154804,0.0,3.8568,0.0,0.0,0.0345,1.6824,2.1361,0.0747,3.7373,0.0,0.0899,14.0921,3154804,10698.0,2025,228.899,46.73677,310001,Belo Horizonte,3101,Belo Horizonte,-20.09982725,-43.76316641,BAIXO,BAIXO,25.7038,8,swine
3154606,0.0,2.6134,0.0,0.0,0.0161,0.1869,1.4474,2.4215,121.2139,0.0,0.1398,9.549,3154606,346971.0,2025,155.105,2237.007189,310001,Belo Horizonte,3101,Belo Horizonte,-19.77744365,-44.0596177,MÉDIO,MÉDIO,137.588,8,rsu_organic
3153905,0.0,1.217,0.0,0.014,0.0,0.4113,0.674,0.1172,5.8677,0.0,0.0,4.4467,3153905,16796.0,2025,72.228,232.541397,310001,Belo Horizonte,3101,Belo Horizonte,-19.97822345,-43.77888411,BAIXO,BAIXO,12.7479,7,rsu_organic
3149309,0.0,4.9336,0.0,0.0,0.1796,0.4973,2.7325,0.4548,22.7685,0.0,0.0,18.0268,3149309,65174.0,2025,292.81,222.581196,310001,Belo Horizonte,3101,Belo Horizonte,-19.628506,-44.07161039,BAIXO,BAIXO,49.5931,7,rsu_organic
3144805,0.0,7.2471,0.0014,0.0028,0.0898,4.9202,4.0138,0.8442,42.2569,0.0,0.0,26.4799,3144805,120959.0,2025,430.115,281.224789,310001,Belo Horizonte,3101,Belo Horizonte,-20.0757951,-43.91211408,BAIXO,BAIXO,85.8561,9,rsu_organic
3142304,0.0,2.597,0.0,0.0112,0.3109,0.0,1.4383,0.0371,1.8564,0.0,0.1438,9.4889,3142304,5314.0,2025,154.129,34.477613,310001,Belo Horizonte,3101,Belo Horizonte,-20.33041795,-44.00147849,BAIXO,BAIXO,15.8836,8,swine
3140704,0.0,5.0937,0.0015,0.0782,3.6849,2.8041,2.8212,0.2848,14.2583,0.0,1.1536,18.6118,3140704,40814.0,2025,302.312,135.006219,310001,Belo Horizonte,3101,Belo Horizonte,-20.03202905,-44.4300976,BAIXO,BAIXO,48.7921,10,swine
3140159,0.0,0.593,0.0,0.0,0.0415,0.0,0.3284,0.1166,5.8359,0.0,0.0,2.1668,3140159,16705.0,2025,35.196,474.627799,310001,Belo Horizonte,3101,Belo Horizonte,-20.0737475,-44.17844093,BAIXO,BAIXO,9.0822,6,rsu_organic
3130101,0.0,1.8685,0.003,0.0251,0.3777,0.1009,1.0349,0.3428,17.16,0.0,0.5493,6.8272,3130101,49120.0,2025,110.894,442.945516,310001,Belo Horizonte,3101,Belo Horizonte,-20.05842205,-44.32901022,BAIXO,BAIXO,28.2894,10,rsu_organic
3129806,0.0,1.2197,0.0014,0.0,0.0576,0.0651,0.6755,1.2533,62.7368,0.0,0.0,4.4566,3129806,179582.0,2025,72.389,2480.79128,310001,Belo Horizonte,3101,Belo Horizonte,-20.02258715,-44.07377345,BAIXO,BAIXO,70.466,8,rsu_organic
3126000,0.0,3.285,0.0,0.0,0.2487,0.5384,1.8194,0.0591,2.9586,0.0,0.3655,12.003,3126000,8469.0,2025,194.965,43.438566,310001,Belo Horizonte,3101,Belo Horizonte,-19.8589845,-44.44468751,BAIXO,BAIXO,21.2777,8,swine
3124104,0.0,15.3283,0.0,0.2233,0.9397,1.749,8.4895,0.6498,32.5254,0.0,3.0213,56.0071,3124104,93103.0,2025,909.727,102.341692,310001,Belo Horizonte,3101,Belo Horizonte,-19.761446,-44.30336736,MÉDIO,MÉDIO,118.9334,9,swine
3118601,0.0,3.2811,0.0,0.0,0.0115,0.0,1.8172,4.5483,227.6769,0.0,0.0,11.9886,3118601,651718.0,2025,194.732,3346.743216,310001,Belo Horizonte,3101,Belo Horizonte,-19.89132405,-44.08679811,MÉDIO,MÉDIO,249.3236,6,rsu_organic
3117876,0.0,0.7155,0.0,0.0,0.2073,0.0,0.3963,0.0541,2.7102,0.0,0.0,2.6142,3117876,7758.0,2025,42.462,182.704536,310001,Belo Horizonte,3101,Belo Horizonte,-19.643233,-43.97812784,BAIXO,BAIXO,6.6976,6,rsu_organic
3110004,0.0,9.1413,0.0057,0.0391,0.6909,19.6546,5.0629,0.2776,13.8953,0.0,1.0986,33.4008,3110004,39775.0,2025,542.531,73.313783,310001,Belo Horizonte,3101,Belo Horizonte,-19.8859165,-43.6153886,BAIXO,BAIXO,83.2668,10,swine
3109006,0.0,10.7942,0.2368,0.0,2.3837,0.3739,5.9783,0.2868,14.3547,0.0,2.9963,39.4402,3109006,41090.0,2025,640.63,64.139987,310001,Belo Horizonte,3101,Belo Horizonte,-20.18670685,-44.12740296,BAIXO,BAIXO,76.8449,9,swine
3106705,0.0,5.7974,0.0037,0.0,0.3455,0.0,3.2109,3.011,150.7206,0.0,0.7491,21.183,3106705,431433.0,2025,344.076,1253.888676,310001,Belo Horizonte,3101,Belo Horizonte,-19.94178005,-44.19543631,MÉDIO,MÉDIO,185.0212,8,rsu_organic
3106200,0.0,5.5828,0.0,0.0,0.0,0.0,3.092,16.8604,843.982,0.0,0.0,20.3987,3106200,2415872.0,2025,331.337,7291.283497,310001,Belo Horizonte,3101,Belo Horizonte,-19.9179564,-43.95033621,ALTO,ALTO,889.9159,5,rsu_organic
3137601,0.0,3.871,0.0758,0.0,0.0415,2.1049,2.1439,0.5674,28.4017,0.0,0.1233,14.1439,3137601,81299.0,2025,229.741,353.872404,310001,Belo Horizonte,3101,Belo Horizonte,-19.6262435,-43.88555024,BAIXO,BAIXO,51.4734,9,rsu_organic
3136652,0.0,1.6455,0.0,0.0,0.1382,0.3739,0.9114,0.232,11.6155,0.0,0.0,6.0124,3136652,33249.0,2025,97.66,340.456686,310001,Belo Horizonte,3101,Belo Horizonte,-19.95574725,-44.36292683,BAIXO,BAIXO,20.9289,7,rsu_organic
3136603,0.0,2.9003,0.0019,0.0195,0.3132,1.1702,1.6063,0.0426,2.1335,0.0,1.1361,10.5972,3136603,6107.0,2025,172.131,35.478792,310001,Belo Horizonte,3101,Belo Horizonte,-19.623843,-43.5703698,BAIXO,BAIXO,19.9208,10,swine
3134608,0.0,18.7865,0.1137,0.0335,3.4546,1.5852,10.4048,0.1494,7.4785,0.0,4.4945,68.643,3134608,21407.0,2025,1114.972,19.199585,310001,Belo Horizonte,3101,Belo Horizonte,-19.4225325,-43.70323871,MÉDIO,MÉDIO,115.1437,10,swine
3167202,0.0,9.0469,0.0019,0.0,2.3491,8.8608,5.0106,1.6673,83.4626,1.1725,0.9888,33.0558,3167202,238909.0,2025,536.928,444.955376,310002,Sete Lagoas,3101,Belo Horizonte,-19.445999,-44.26680637,MÉDIO,MÉDIO,145.6163,10,rsu_organic
3159001,0.0,11.4105,0.0,0.0,0.3685,0.1009,6.3196,0.0395,1.9752,0.0,0.1573,41.6921,3159001,5654.0,2025,677.207,8.348998,310002,Sete Lagoas,3101,Belo Horizonte,-19.1821615,-43.6366222,BAIXO,BAIXO,62.0636,8,swine
3158508,0.0,21.1599,0.0,0.0,1.7618,1.7991,11.7193,0.0491,2.4559,0.0,1.613,77.315,3158508,7030.0,2025,1255.832,5.597883,310002,Sete Lagoas,3101,Belo Horizonte,-18.888149,-43.86727352,MÉDIO,MÉDIO,117.8731,8,swine
3153608,0.0,2.0925,0.0,0.0,0.1727,1.2151,1.1589,0.0841,4.2104,0.0,0.1498,7.6457,3153608,12052.0,2025,124.189,97.045632,310002,Sete Lagoas,3101,Belo Horizonte,-19.4695455,-44.12535807,BAIXO,BAIXO,16.7292,8,swine
3147402,0.0,10.5414,0.001,0.0,2.9571,29.5556,5.8383,0.1738,8.6984,2.4426,2.0125,38.5168,3147402,24899.0,2025,625.631,39.79822,310002,Sete Lagoas,3101,Belo Horizonte,-19.279771,-44.33620802,MÉDIO,MÉDIO,100.7375,10,swine
3143708,0.0,8.0463,0.0,0.0,0.4813,2.1214,4.4564,0.0221,1.1043,0.0,0.0,29.4001,3143708,3161.0,2025,477.548,6.61923,310002,Sete Lagoas,3101,Belo Horizonte,-19.2185235,-43.40184349,BAIXO,BAIXO,45.6319,7,swine
3141108,0.0,4.2537,0.0,0.0,2.1764,10.0572,2.3559,0.2759,13.8094,4.1874,0.0,15.5422,3141108,39529.0,2025,252.453,156.579641,310002,Sete Lagoas,3101,Belo Horizonte,-19.530701,-44.04869384,BAIXO,BAIXO,52.6581,8,swine
3127206,0.0,3.3664,0.0,0.0,0.6909,1.5516,1.8645,0.0344,1.7237,0.0,0.5244,12.3005,3127206,4934.0,2025,199.797,24.695065,310002,Sete Lagoas,3101,Belo Horizonte,-19.3599265,-44.06376275,BAIXO,BAIXO,22.0564,8,swine
3126406,0.0,3.3474,0.0,0.0,0.6564,0.9347,1.8539,0.0225,1.1284,1.4293,0.2747,12.2308,3126406,3230.0,2025,198.665,16.258526,310002,Sete Lagoas,3101,Belo Horizonte,-19.5347995,-44.52758726,BAIXO,BAIXO,21.8781,9,swine
3118908,0.0,13.878,0.0027,0.0,0.8291,6.5428,7.6863,0.0526,2.6323,2.733,2.1673,50.7081,3118908,7535.0,2025,823.654,9.148259,310002,Sete Lagoas,3101,Belo Horizonte,-19.094295,-44.21088411,BAIXO,BAIXO,87.2322,10,swine
3118106,0.0,6.8353,0.0,0.0558,0.8061,1.589,3.7857,0.0344,1.7202,0.0,1.2235,24.975,3118106,4924.0,2025,405.671,12.137915,310002,Sete Lagoas,3101,Belo Horizonte,-18.9014465,-43.6848477,BAIXO,BAIXO,41.025,9,swine
3117504,0.0,28.9815,0.0025,0.0,3.5007,9.6086,16.0513,0.1714,8.5797,0.0,3.5956,105.8938,3117504,24559.0,2025,1720.04,14.278156,310002,Sete Lagoas,3101,Belo Horizonte,-18.9325565,-43.49774407,MÉDIO,MÉDIO,176.3851,9,swine
3112505,0.0,1.6063,0.0,0.0,0.4975,0.0,0.8896,0.0782,3.9162,0.0,0.0,5.8692,3112505,11210.0,2025,95.333,117.587824,310002,Sete Lagoas,3101,Belo Horizonte,-19.5814875,-44.1689073,BAIXO,BAIXO,12.857,6,swine
3109907,0.0,2.6291,0.0,0.0,0.8706,3.3649,1.4561,0.0831,4.1593,2.9312,0.5618,9.6065,3109907,11906.0,2025,156.039,76.301437,310002,Sete Lagoas,3101,Belo Horizonte,-19.3407255,-44.41990581,BAIXO,BAIXO,25.6626,9,swine
3109600,0.0,1.035,0.0,0.0,0.1727,0.2393,0.5732,0.0264,1.3223,0.0,0.1124,3.7816,3109600,3785.0,2025,61.425,61.619862,310002,Sete Lagoas,3101,Belo Horizonte,-19.513502,-44.47638802,BAIXO,BAIXO,7.2629,8,swine
3105004,0.0,9.3727,0.0031,0.0,3.5375,8.1131,5.191,0.053,2.6533,7.4759,3.1461,34.2464,3105004,7595.0,2025,556.266,13.65354,310002,Sete Lagoas,3101,Belo Horizonte,-19.246351,-43.84707735,BAIXO,BAIXO,73.7921,10,swine
3103207,0.0,3.1597,0.0,0.0,0.2211,10.2703,1.75,0.0155,0.7763,0.0,0.0,11.5452,3103207,2222.0,2025,187.53,11.848771,310002,Sete Lagoas,3101,Belo Horizonte,-19.25048,-44.21477413,BAIXO,BAIXO,27.7381,7,swine
3135704,0.0,7.4984,0.0,0.0,2.0728,3.0919,4.153,0.0429,2.1457,0.0,4.6143,27.3982,3135704,6142.0,2025,445.03,13.801317,310002,Sete Lagoas,3101,Belo Horizonte,-19.2076255,-43.96514839,BAIXO,BAIXO,51.0172,8,swine
3131000,0.0,4.128,0.0,0.0,0.4146,0.7814,2.2863,0.0451,2.2585,8.1598,0.3845,15.0831,3131000,6465.0,2025,244.996,26.388186,310002,Sete Lagoas,3101,Belo Horizonte,-19.499527,-44.37744605,BAIXO,BAIXO,33.5413,9,swine
3157203,0.0,11.5334,0.0,0.0363,0.6218,106.9544,6.3877,0.2227,11.1498,0.0,1.1716,42.1414,3157203,31916.0,2025,684.505,46.626394,310003,Santa Bárbara - Ouro Preto,3101,Belo Horizonte,-20.0536185,-43.58788963,MÉDIO,MÉDIO,180.2191,9,forestry
3146107,0.0,20.9954,0.0227,0.0921,1.8885,21.6847,11.6282,0.5438,27.2192,0.0,1.1985,76.7139,3146107,77914.0,2025,1246.068,62.527888,310003,Santa Bárbara - Ouro Preto,3101,Belo Horizonte,-20.3966125,-43.70232485,MÉDIO,MÉDIO,161.987,10,swine
3140001,0.0,20.1216,0.0038,0.0698,1.6582,18.3946,11.1443,0.4502,22.5351,0.0,1.2485,73.5211,3140001,64506.0,2025,1194.208,54.015716,310003,Santa Bárbara - Ouro Preto,3101,Belo Horizonte,-20.33594,-43.3021995,MÉDIO,MÉDIO,149.1472,10,swine
3115359,0.0,4.0445,0.0007,0.0167,0.4491,92.9393,2.2401,0.0398,1.9934,0.0,0.8809,14.7781,3115359,5706.0,2025,240.042,23.77084,310003,Santa Bárbara - Ouro Preto,3101,Belo Horizonte,-20.068948,-43.40211203,MÉDIO,MÉDIO,117.3826,10,forestry
3105400,0.0,5.7311,0.0,0.0,0.1935,72.771,3.1742,0.2252,11.2714,0.0,1.1985,20.9406,3105400,32264.0,2025,340.14,94.85506,310003,Santa Bárbara - Ouro Preto,3101,Belo Horizonte,-19.896333,-43.47171061,MÉDIO,MÉDIO,115.5055,8,forestry
3131901,0.0,9.175,0.0034,0.0,1.7618,4.5501,5.0816,0.3934,19.6924,0.0,1.1236,33.5242,3131901,56369.0,2025,544.535,103.51768,310003,Santa Bárbara - Ouro Preto,3101,Belo Horizonte,-20.25563825,-43.83466338,BAIXO,BAIXO,75.3055,9,swine
3169356,0.0,45.1267,0.0019,0.0,36.149,158.6726,24.9933,0.2093,10.4752,23.6169,1.648,164.886,3169356,29985.0,2025,2678.254,11.195727,310004,Curvelo,3101,Belo Horizonte,-18.299155,-45.06192911,MÉDIO,MÉDIO,465.7789,10,swine
3160603,0.0,7.2563,0.0,0.0,0.5527,5.6081,4.0188,0.0188,0.9404,23.4494,0.5393,26.5132,3160603,2692.0,2025,430.656,6.250929,310004,Curvelo,3101,Belo Horizonte,-18.3922515,-44.18968297,BAIXO,BAIXO,68.897,9,swine
