plant_id,plant_name,operator,sector,feedstock,municipality,uf,lat,lon,status,year_online,elec_capacity_mw,biogas_nm3_day,biomethane_nm3_day,annual_output_value,annual_output_unit,data_confidence,source_name,source_url,notes
sp_bandeirantes,UTE Bandeirantes (Aterro Bandeirantes),Biogás Energia Ambiental S/A,landfill,landfill_gas,São Paulo,SP,-23.65008,-46.6481,operating,2004,20,,,170000,MWh/year,primary,ANEEL REA/Operator; CanalEnergia,https://www.canalenergia.com.br/noticias/53151138/raizen-inaugura-usina-de-21-mw-a-partir-de-biogas,Perus district; 24x 925 kW gensets; among the first large landfill-gas plants in BR.
sp_saojoao,UTE São João Biogás (Aterro São João),São João Energia Ambiental S.A.,landfill,landfill_gas,São Paulo,SP,-23.65008,-46.6481,deactivated,2007,20,,,,,primary,ANEEL REA 579/2006; Prefeitura SP,https://www.prefeitura.sp.gov.br/cidade/secretarias/comunicacao/noticias/?p=124137,ANEEL authorization REA 579 (2006); facility deactivated ~Nov 2009. ANEEL SIGA would confirm fiscalised capacity.
sp_caieiras,Termoverde Caieiras / Gás Verde biomethane,Solví Essencis Ambiental; Gás Verde (Urca Energia),landfill,landfill_gas,Caieiras,SP,-23.37593,-46.74523,operating,2016,29.5,,70000,,,primary,Operator (Gás Verde/Solví); CPG,https://canalsolar.com.br/en/Caieiras-landfill-biomethane-production/,Largest landfill in Latin America. 29.5 MW power (2016); biomethane upgrading 70k Nm³/d (2024); grid injection from 2019.
sp_bonfim,Raízen Geo Biogás — Bonfim,Raízen / Geo Energética (JV),sugarcane,vinasse_filtercake,Guariba,SP,-21.39594,-48.22656,operating,2020,21,187000,,138000,MWh/year,primary,Raízen press office,https://www.raizen.com.br/en/press-office/raizen-inaugura-planta-de-biogas-e-consolida-portfolio-de-energias-renovaveis,"First biogas plant to win a Brazilian energy auction. ~9,200 m³/d vinasse + filter cake; R$153M."
sp_costapinto,Raízen Costa Pinto — biomethane,Raízen / Geo Energética,sugarcane,vinasse_filtercake,Piracicaba,SP,-22.72646,-47.78402,construction,2025,,,71233,26000000,Nm3/year,secondary,RPAnews / Bioenergy International,https://revistarpanews.com.br/raizen-investe-r-300-milhoes-na-construcao-da-planta-de-biogas-em-piracicaba/,"~26 MM Nm³/yr biomethane (~71,233 Nm³/d). Offtake VW (50k Nm³/d) + Yara (20k Nm³/d). R$300M. Year/status vary by source (2023–2025)."
sp_narandiba,Cocal Geo Biogás — Narandiba,Cocal / Geo Energética (JV),sugarcane,vinasse_filtercake_manure,Narandiba,SP,-22.56371,-51.52168,operating,2022,,,25000,,,primary,GeoBiogás / Cocal,https://www.geobiogas.tech/en/plantas/cocal-geo-biogas,"First dedicated biomethane pipeline in Brazil (~65 km, w/ Necta/GasBrasiliano). R$150M."
sp_paraguacu,Cocal Geo Biogás — Paraguaçu Paulista,Cocal / Geo Energética,sugarcane,vinasse_filtercake_manure,Paraguaçu Paulista,SP,-22.4591,-50.62658,operating,2025,,,60000,,,primary,Cocal official,https://www.cocal.com.br/noticias/biometano/cocal-inicia-a-operacao-da-sua-segunda-planta-de-biogás-no-oeste-de-sao-paulo/,Operation began Sept 2025. R$216M. Vinasse/filter cake/manure stored for year-round feed.
sp_zeg_jambeiro,ZEG Biogás — Jambeiro,ZEG Biogás,sugarcane,vinasse_filtercake,Jambeiro,SP,-23.27929,-45.7106,operating,2023,,,30000,,,secondary,ZEG Biogás (industry reporting),https://www.abegas.org.br/,~30k Nm³/d biomethane. Confirm capacity/year against operator page or ANP authorization.
sp_onebio_paulinia,OneBio (Biometano Verde Paulínia),Edge (51%) / Orizon VR (49%),industry,msw_forsu,Paulínia,SP,-22.74837,-47.14507,operating,2026,,,225000,,,primary,Brasil 61 / BNDES,https://brasil61.com/n/maior-planta-de-biometano-do-brasil-e-inaugurada-em-paulinia-sp-bras2616017,"Largest biomethane plant in Brazil (225k m³/d). Inaugurated Mar 2026, ~50% capacity as of Mar 2026. BNDES R$450M."
sp_ete_franca,ETE Franca — biogás veicular (SABESP pilot),SABESP (w/ Fraunhofer),sanitation,sewage_sludge,Franca,SP,-20.55522,-47.38111,operating,2018,,3000,,,,primary,SABESP / Fraunhofer; Tratamento de Água,https://tratamentodeagua.com.br/artigo/biogas-uso-veicular-sabesp/,"Pilot: ~3,000 m³/d biogas, ~65% CH4; fuels ~40 SABESP CNG vehicles. ETE capacity 550 L/s."
