year,scope,metric,value,unit,source_name,source_url,notes
2024,Brazil,biogas_plants_total,1633.0,plants,ABEGÁS / CIBiogás Panorama 2024,https://www.abegas.org.br/arquivos/95755,"1,587 operating + 46 in implementation; +18% vs 2023."
2025,Brazil,biogas_plants_total,1803.0,plants,CIBiogás Panorama 2025,https://www.portaldoagronegocio.com.br/energias-renovaveis/outros/noticias/brasil-supera-1-800-plantas-de-biogas-e-consolida-avanco-do-biometano-revela-panorama-2025,
2024,Brazil,biomethane_plants_total,79.0,plants,CIBiogás Panorama 2024,https://materiais.cibiogas.org/panorama-do-biogas-2024,54 operating + 25 in implementation.
2024,Brazil,biogas_volume_capacity,667.0,million Nm3/year,CIBiogás Panorama 2024,https://materiais.cibiogas.org/panorama-do-biogas-2024,Registered capacity.
2025,PR,biogas_plants,525.0,plants,CIBiogás Panorama 2025,https://www.opresente.com.br/agronegocio/brasil-registra-1-803-plantas-de-biogas-e-amplia-protagonismo-do-biometano-aponta-panorama-do-biogas-de-2025/,Leads BR in plant COUNT.
2025,MG,biogas_plants,387.0,plants,CIBiogás Panorama 2025,https://www.opresente.com.br/agronegocio/brasil-registra-1-803-plantas-de-biogas-e-amplia-protagonismo-do-biometano-aponta-panorama-do-biogas-de-2025/,
2025,SC,biogas_plants,161.0,plants,CIBiogás Panorama 2025,https://www.opresente.com.br/agronegocio/brasil-registra-1-803-plantas-de-biogas-e-amplia-protagonismo-do-biometano-aponta-panorama-do-biogas-de-2025/,
2025,SP,biogas_plants,181.0,plants,CIBiogás Panorama 2025 / WBA,https://www.worldbiogasassociation.org/why-brazil-is-the-biogas-market-you-dont-want-to-miss/,2024 ed. showed ~134; counts edition-sensitive.
2025,GO,biogas_plants,131.0,plants,CIBiogás Panorama 2025,https://www.opresente.com.br/agronegocio/brasil-registra-1-803-plantas-de-biogas-e-amplia-protagonismo-do-biometano-aponta-panorama-do-biogas-de-2025/,
2025,SP,biogas_production,4.9,million Nm3/day,CIBiogás Panorama 2025,https://www.portaldoagronegocio.com.br/energias-renovaveis/outros/noticias/brasil-supera-1-800-plantas-de-biogas-e-consolida-avanco-do-biometano-revela-panorama-2025,SP leads BR by VOLUME (not count). 84% sugar-energy sector.
2025,RJ,biogas_production,1.8,million Nm3/day,CIBiogás Panorama 2025,https://www.portaldoagronegocio.com.br/energias-renovaveis/outros/noticias/brasil-supera-1-800-plantas-de-biogas-e-consolida-avanco-do-biometano-revela-panorama-2025,
2025,PR,biogas_production,1.5,million Nm3/day,CIBiogás Panorama 2025,https://www.portaldoagronegocio.com.br/energias-renovaveis/outros/noticias/brasil-supera-1-800-plantas-de-biogas-e-consolida-avanco-do-biometano-revela-panorama-2025,
2026,SP,biomethane_production,0.7,million m3/day,Agência SP,https://www.agenciasp.sp.gov.br/sao-paulo-avanca-na-descarbonizacao-e-se-prepara-para-superar-700-mil-m%C2%B3-dia-de-biometano-ate-2026/,~9 operating plants; target >700k m³/d by Dec 2026.
