mesano,razao_social,cnpj,uf,municipio,cap_biometano_m3d,cap_biogas_m3d,vol_biogas_m3d,util_pct
04/2026,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,CE,CAUCAIA,110000.0,300000.0,142800.0,48
04/2026,ADECOAGRO VALE DO IVINHEMA S.A.,07903169001768,MS,IVINHEMA,8000.0,12000.0,0.0,0
04/2026,ZEG BIOGÁS AROEIRA SPE LTDA.,46569957000154,MG,TUPACIGUARA,16912.0,30626.0,1905.0,6
04/2026,GEO ELÉTRICA TAMBOARA BIOENERGIA LTDA,12415018000214,PR,TAMBOARA,40000.0,86880.0,18613.0,21
04/2026,ORIZON BIOMETANO JABOATÃO DOS GUARARAPES LIMITADA,49909303000110,PE,JABOATAO DOS GUARARAPES,108931.0,240000.0,64147.0,27
04/2026,BIOMETANO SUL S.A.,47360931000164,RS,MINAS DO LEAO,64848.0,132000.0,66085.0,50
04/2026,SPE CENTRAL DE TRATAMENTO INTEGRADO RESÍDUO ZERO LTDA,35536099000125,RS,TRIUNFO,36000.0,60000.0,46732.0,78
04/2026,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,RJ,SAO PEDRO DA ALDEIA,18480.0,36000.0,30958.0,86
04/2026,GÁS VERDE S.A.,11131464000587,RJ,SEROPEDICA,204000.0,480000.0,381731.0,80
04/2026,AGRIC ADUBOS E GESTÃODE RESÍDUOS INDUSTRIAIS E COMERCIAIS S.A.,28260261000240,SC,CAMPOS NOVOS,31440.0,48000.0,4180.0,9
06/2022,GASGRID GÁS E ENERGIA S.A,24025216000250,SP,SAO PAULO,30000.0,60000.0,0.0,0
04/2026,BIOMETANO VERDE PAULINIA S.A.,50365355000152,SP,PAULINIA,106867.0,240000.0,208.0,0
04/2026,CRI GEO BIOGAS S.A.,38615333000106,SP,ELIAS FAUSTO,23694.0,60629.0,11925.0,20
04/2026,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SP,SAO PAULO,30000.0,60000.0,27902.0,47
04/2026,COCAL ENERGIA PPT PARTICIPAÇÕES LTDA,44191268000123,SP,PARAGUACU PAULISTA,60000.0,127200.0,0.0,0
04/2026,RAÍZEN-GEO BIOGÁS COSTA PINTO LTDA.,45281972000130,SP,PIRACICABA,130368.0,230016.0,31570.0,14
04/2026,COCAL ENERGIA S.A.,14788495000170,SP,NARANDIBA,27112.0,51600.0,19087.0,37
04/2026,ESSENCIS BIOMETANO S.A.,48119972000126,SP,CAIEIRAS,67200.0,139680.0,63458.0,45
04/2026,ENGEP AMBIENTAL LTDA,17354555000215,SP,JAMBEIRO,30000.0,84000.0,17440.0,21
04/2026,BIOENERGIA SANTA CRUZ LTDA.,51447607000155,SP,AMERICO BRASILIENSE,82575.0,152440.0,16.0,0
