mesano,regiao,estado,produto,producao_m3,uf,mg_anomaly_flag
01/2020,NORDESTE,Ceará,BIOMETANO,2161394.0,CE,
02/2020,NORDESTE,Ceará,BIOMETANO,2084682.0,CE,
03/2020,NORDESTE,Ceará,BIOMETANO,2418989.29,CE,
04/2020,NORDESTE,Ceará,BIOMETANO,2236560.0,CE,
05/2020,NORDESTE,Ceará,BIOMETANO,2364125.99,CE,
06/2020,NORDESTE,Ceará,BIOMETANO,2111745.0,CE,
07/2020,NORDESTE,Ceará,BIOMETANO,2218781.0,CE,
07/2020,SUDESTE,Rio de Janeiro,BIOMETANO,2118130.86,RJ,
08/2020,NORDESTE,Ceará,BIOMETANO,1956427.0,CE,
08/2020,SUDESTE,Rio de Janeiro,BIOMETANO,1245037.71,RJ,
09/2020,NORDESTE,Ceará,BIOMETANO,1880002.0,CE,
09/2020,SUDESTE,Rio de Janeiro,BIOMETANO,1836423.37,RJ,
10/2020,NORDESTE,Ceará,BIOMETANO,1916434.0,CE,
10/2020,SUDESTE,Rio de Janeiro,BIOMETANO,2187595.32,RJ,
11/2020,NORDESTE,Ceará,BIOMETANO,1722957.0,CE,
11/2020,SUDESTE,Rio de Janeiro,BIOMETANO,2102627.71,RJ,
12/2020,NORDESTE,Ceará,BIOMETANO,1720012.0,CE,
12/2020,SUDESTE,Rio de Janeiro,BIOMETANO,1861512.5,RJ,
01/2021,NORDESTE,Ceará,BIOMETANO,1832177.0,CE,
01/2021,SUDESTE,Rio de Janeiro,BIOMETANO,1425247.6,RJ,
02/2021,NORDESTE,Ceará,BIOMETANO,1802761.0,CE,
02/2021,SUDESTE,Rio de Janeiro,BIOMETANO,1895520.38,RJ,
03/2021,NORDESTE,Ceará,BIOMETANO,2085566.0,CE,
03/2021,SUDESTE,Rio de Janeiro,BIOMETANO,1885190.31,RJ,
04/2021,NORDESTE,Ceará,BIOMETANO,2187025.0,CE,
04/2021,SUDESTE,Rio de Janeiro,BIOMETANO,1926202.98,RJ,
05/2021,NORDESTE,Ceará,BIOMETANO,2360935.0,CE,
05/2021,SUDESTE,Rio de Janeiro,BIOMETANO,2500568.99,RJ,
06/2021,NORDESTE,Ceará,BIOMETANO,2246702.0,CE,
06/2021,SUDESTE,Rio de Janeiro,BIOMETANO,2490944.5,RJ,
07/2021,NORDESTE,Ceará,BIOMETANO,2194629.0,CE,
07/2021,SUDESTE,Rio de Janeiro,BIOMETANO,2522563.05,RJ,
08/2021,NORDESTE,Ceará,BIOMETANO,2345568.0,CE,
08/2021,SUDESTE,Rio de Janeiro,BIOMETANO,2281057.6,RJ,
09/2021,NORDESTE,Ceará,BIOMETANO,2223972.23,CE,
09/2021,SUDESTE,Rio de Janeiro,BIOMETANO,2202671.26,RJ,
10/2021,NORDESTE,Ceará,BIOMETANO,2367847.0,CE,
10/2021,SUDESTE,Rio de Janeiro,BIOMETANO,3049847.93,RJ,
11/2021,NORDESTE,Ceará,BIOMETANO,2217294.0,CE,
11/2021,SUDESTE,Rio de Janeiro,BIOMETANO,3092958.19,RJ,
12/2021,NORDESTE,Ceará,BIOMETANO,727221.0,CE,
12/2021,SUDESTE,Rio de Janeiro,BIOMETANO,3178951.28,RJ,
01/2022,NORDESTE,Ceará,BIOMETANO,2113843.0,CE,
01/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3161343.25,RJ,
02/2022,NORDESTE,Ceará,BIOMETANO,2291289.0,CE,
02/2022,SUDESTE,Rio de Janeiro,BIOMETANO,2805443.0,RJ,
03/2022,NORDESTE,Ceará,BIOMETANO,2450917.0,CE,
03/2022,SUDESTE,Rio de Janeiro,BIOMETANO,2976531.27,RJ,
04/2022,NORDESTE,Ceará,BIOMETANO,2747443.0,CE,
04/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3164608.36,RJ,
05/2022,NORDESTE,Ceará,BIOMETANO,2713341.0,CE,
05/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3119032.11,RJ,
06/2022,NORDESTE,Ceará,BIOMETANO,2557430.0,CE,
06/2022,SUDESTE,Rio de Janeiro,BIOMETANO,2596059.14,RJ,
07/2022,NORDESTE,Ceará,BIOMETANO,2558126.0,CE,
07/2022,SUDESTE,Rio de Janeiro,BIOMETANO,2643186.001,RJ,
07/2022,SUDESTE,São Paulo,BIOMETANO,79950.71,SP,
08/2022,NORDESTE,Ceará,BIOMETANO,2158200.0,CE,
08/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3099926.0,RJ,
08/2022,SUDESTE,São Paulo,BIOMETANO,80796.788,SP,
09/2022,NORDESTE,Ceará,BIOMETANO,2125088.0,CE,
09/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3212714.25,RJ,
09/2022,SUDESTE,São Paulo,BIOMETANO,196547.463,SP,
10/2022,NORDESTE,Ceará,BIOMETANO,2139388.0,CE,
10/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3651424.01,RJ,
10/2022,SUDESTE,São Paulo,BIOMETANO,205192.297,SP,
11/2022,NORDESTE,Ceará,BIOMETANO,2371997.0,CE,
11/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3095227.87,RJ,
11/2022,SUDESTE,São Paulo,BIOMETANO,262773.785,SP,
12/2022,NORDESTE,Ceará,BIOMETANO,2435403.0,CE,
12/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3384189.77,RJ,
12/2022,SUDESTE,São Paulo,BIOMETANO,284486.365,SP,
01/2023,NORDESTE,Ceará,BIOMETANO,2523983.0,CE,
01/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3036906.49,RJ,
01/2023,SUDESTE,São Paulo,BIOMETANO,289486.094,SP,
02/2023,NORDESTE,Ceará,BIOMETANO,1521883.0,CE,
02/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3191145.18,RJ,
02/2023,SUDESTE,São Paulo,BIOMETANO,338117.067,SP,
03/2023,NORDESTE,Ceará,BIOMETANO,2752477.0,CE,
03/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3441360.35,RJ,
03/2023,SUDESTE,São Paulo,BIOMETANO,495577.303,SP,
04/2023,NORDESTE,Ceará,BIOMETANO,2382615.0,CE,
04/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3454918.78,RJ,
04/2023,SUDESTE,São Paulo,BIOMETANO,137486.903,SP,
05/2023,NORDESTE,Ceará,BIOMETANO,2439020.0,CE,
05/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3225840.42,RJ,
05/2023,SUDESTE,São Paulo,BIOMETANO,174041.723,SP,
06/2023,NORDESTE,Ceará,BIOMETANO,2139708.0,CE,
06/2023,SUDESTE,Rio de Janeiro,BIOMETANO,4012685.54,RJ,
06/2023,SUDESTE,São Paulo,BIOMETANO,815781.921,SP,
07/2023,NORDESTE,Ceará,BIOMETANO,2232205.0,CE,
07/2023,SUDESTE,Rio de Janeiro,BIOMETANO,4028086.73,RJ,
07/2023,SUDESTE,São Paulo,BIOMETANO,672687.355,SP,
08/2023,NORDESTE,Ceará,BIOMETANO,2113252.0,CE,
08/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3724225.24,RJ,
08/2023,SUDESTE,São Paulo,BIOMETANO,687711.394,SP,
09/2023,NORDESTE,Ceará,BIOMETANO,1962794.0,CE,
09/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3380932.95,RJ,
09/2023,SUDESTE,São Paulo,BIOMETANO,800639.096,SP,
10/2023,NORDESTE,Ceará,BIOMETANO,2058088.0,CE,
10/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3897429.9,RJ,
10/2023,SUDESTE,São Paulo,BIOMETANO,908523.549,SP,
11/2023,NORDESTE,Ceará,BIOMETANO,1726793.0,CE,
11/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3544679.294,RJ,
11/2023,SUDESTE,São Paulo,BIOMETANO,704202.684,SP,
12/2023,NORDESTE,Ceará,BIOMETANO,1804975.0,CE,
12/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3671877.54,RJ,
12/2023,SUDESTE,São Paulo,BIOMETANO,625187.383,SP,
01/2024,NORDESTE,Ceará,BIOMETANO,1805984.0,CE,
01/2024,SUDESTE,Rio de Janeiro,BIOMETANO,4135775.31,RJ,
01/2024,SUDESTE,São Paulo,BIOMETANO,859037.212,SP,
02/2024,NORDESTE,Ceará,BIOMETANO,1873174.0,CE,
02/2024,SUDESTE,Rio de Janeiro,BIOMETANO,4046714.57,RJ,
02/2024,SUDESTE,São Paulo,BIOMETANO,612487.07,SP,
03/2024,NORDESTE,Ceará,BIOMETANO,2321845.0,CE,
03/2024,SUDESTE,Rio de Janeiro,BIOMETANO,4121112.024,RJ,
03/2024,SUDESTE,São Paulo,BIOMETANO,761024.896,SP,
04/2024,NORDESTE,Ceará,BIOMETANO,2333336.0,CE,
04/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3959627.85,RJ,
04/2024,SUDESTE,São Paulo,BIOMETANO,617597.659,SP,
05/2024,NORDESTE,Ceará,BIOMETANO,2484623.0,CE,
05/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3007478.69,RJ,
05/2024,SUDESTE,São Paulo,BIOMETANO,646669.887,SP,
06/2024,NORDESTE,Ceará,BIOMETANO,2441909.0,CE,
06/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3928722.68,RJ,
06/2024,SUDESTE,São Paulo,BIOMETANO,361014.782,SP,
07/2024,NORDESTE,Ceará,BIOMETANO,2533705.0,CE,
07/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3674404.722,RJ,
07/2024,SUDESTE,São Paulo,BIOMETANO,431095.057,SP,
08/2024,NORDESTE,Ceará,BIOMETANO,2200932.0,CE,
08/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3728639.58,RJ,
08/2024,SUDESTE,São Paulo,BIOMETANO,578799.913,SP,
09/2024,NORDESTE,Ceará,BIOMETANO,2065365.0,CE,
09/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3108845.51,RJ,
09/2024,SUDESTE,São Paulo,BIOMETANO,709414.991,SP,
10/2024,NORDESTE,Ceará,BIOMETANO,2014537.0,CE,
10/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3917078.22,RJ,
10/2024,SUDESTE,São Paulo,BIOMETANO,1587269.163,SP,
11/2024,NORDESTE,Ceará,BIOMETANO,1717232.0,CE,
11/2024,SUDESTE,Rio de Janeiro,BIOMETANO,4049829.7,RJ,
11/2024,SUDESTE,São Paulo,BIOMETANO,1645880.564,SP,
12/2024,NORDESTE,Ceará,BIOMETANO,1942316.0,CE,
12/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3286379.6,RJ,
12/2024,SUDESTE,São Paulo,BIOMETANO,2015923.419,SP,
01/2025,NORDESTE,Ceará,BIOMETANO,1710366.0,CE,
01/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3907559.97,RJ,
01/2025,SUDESTE,São Paulo,BIOMETANO,1925608.547,SP,
02/2025,NORDESTE,Ceará,BIOMETANO,1853861.0,CE,
02/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3364408.57,RJ,
02/2025,SUDESTE,São Paulo,BIOMETANO,1232599.864,SP,
03/2025,NORDESTE,Ceará,BIOMETANO,2011279.0,CE,
03/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,143175.0,PR,
03/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3573446.201,RJ,
03/2025,SUDESTE,São Paulo,BIOMETANO,3657731.611,SP,
04/2025,NORDESTE,Ceará,BIOMETANO,1899201.0,CE,
04/2025,SUDESTE,Minas Gerais,BIOMETANO,0.4,MG,near-zero nascent value; verify decimal interpretation
04/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,12979.0,PR,
04/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3814217.01,RJ,
04/2025,SUDESTE,São Paulo,BIOMETANO,2458752.724,SP,
05/2025,NORDESTE,Ceará,BIOMETANO,1882331.0,CE,
05/2025,SUDESTE,Minas Gerais,BIOMETANO,3.0,MG,near-zero nascent value; verify decimal interpretation
05/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,122469.0,PR,
05/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3806902.81,RJ,
05/2025,SUDESTE,São Paulo,BIOMETANO,3745586.619,SP,
05/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,19761.0,SP,
06/2025,NORDESTE,Ceará,BIOMETANO,1735936.0,CE,
06/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3873931.25,RJ,
06/2025,SUDESTE,São Paulo,BIOMETANO,3982950.966,SP,
06/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,125177.0,SP,
07/2025,NORDESTE,Ceará,BIOMETANO,1765397.0,CE,
07/2025,SUDESTE,Minas Gerais,BIOMETANO,38.127,MG,near-zero nascent value; verify decimal interpretation
07/2025,SUDESTE,Rio de Janeiro,BIOMETANO,4419937.87,RJ,
07/2025,SUDESTE,São Paulo,BIOMETANO,4844072.67,SP,
07/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,81805.0,SP,
08/2025,NORDESTE,Ceará,BIOMETANO,1673109.0,CE,
08/2025,SUDESTE,Minas Gerais,BIOMETANO,63.352,MG,near-zero nascent value; verify decimal interpretation
08/2025,SUL,Rio Grande do Sul,BIOMETANO,833677.0,RS,
08/2025,SUDESTE,Rio de Janeiro,BIOMETANO,4275665.91,RJ,
