date,plant_id,operator,uf,municipality,cap_biometano_m3d,cap_biogas_m3d,vol_biogas_m3d,util_pct
2020-01-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,171950.0,57
2020-02-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,170631.0,57
2020-03-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,176273.0,59
2020-04-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,166974.0,56
2020-05-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,169025.0,56
2020-06-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,159050.0,53
2020-07-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,71574.0,24
2020-08-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,63111.0,21
2020-09-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,142905.0,48
2020-10-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,141787.0,47
2020-11-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,131997.0,44
2020-12-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,130913.0,44
2021-01-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,125489.0,42
2021-02-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,117918.0,39
2021-03-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,145712.0,49
2021-04-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,156390.0,52
2021-05-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,163821.0,55
2021-06-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,158044.0,53
2021-07-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,149591.0,50
2021-08-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,165935.0,55
2021-09-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,166538.0,56
2021-10-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,172096.0,57
2021-11-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,165776.0,55
2021-12-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,70600.0,24
2022-01-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,150839.0,50
2022-02-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,177441.0,59
2022-03-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,165036.0,55
2022-04-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,193729.0,65
2022-05-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,186861.0,62
2022-06-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,183303.0,61
2022-07-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,176830.0,59
2022-08-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,152957.0,51
2022-09-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,154725.0,52
2022-10-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,150551.0,50
2022-11-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,169476.0,56
2022-12-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,167111.0,56
2023-01-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,171498.0,57
2023-02-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,184478.0,61
2023-03-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,190154.0,63
2023-04-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,174104.0,58
2023-05-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,172323.0,57
2023-06-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,150966.0,50
2023-07-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,152892.0,51
2023-08-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,146695.0,49
2023-09-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,138911.0,46
2023-10-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,140526.0,47
2023-11-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,125553.0,42
2023-12-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,120902.0,40
2024-01-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,127377.0,42
2024-02-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,137572.0,46
2024-03-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,179658.0,60
2024-04-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,170335.0,57
2024-05-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,177583.0,59
2024-06-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,178688.0,60
2024-07-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,190672.0,64
2024-08-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,159502.0,53
2024-09-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,153705.0,51
2024-10-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,166141.0,55
2024-11-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,130489.0,43
2024-12-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,142941.0,48
2025-01-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,118542.0,40
2025-02-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,136008.0,45
2025-03-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,133359.0,44
2025-04-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,128379.0,43
2025-05-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,124337.0,41
2025-06-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,119401.0,40
2025-07-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,116991.0,39
2025-08-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,110665.0,37
2025-09-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,107236.0,36
2025-10-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,126448.0,42
2025-11-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,121692.0,41
2025-12-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,134129.0,45
2026-01-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,143488.0,48
2026-02-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,150851.0,50
2026-03-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,146587.0,49
2026-04-01,ce_gnr_fortaleza,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,CE,CAUCAIA,110000.0,300000.0,142800.0,48
2025-03-01,mg_zeg_aroeira_tupaciguara,ZEG BIOGÁS AROEIRA SPE LTDA.,MG,TUPACIGUARA,16912.0,30626.0,0.0,0
2025-04-01,mg_zeg_aroeira_tupaciguara,ZEG BIOGÁS AROEIRA SPE LTDA.,MG,TUPACIGUARA,16912.0,30626.0,24.0,0
2025-05-01,mg_zeg_aroeira_tupaciguara,ZEG BIOGÁS AROEIRA SPE LTDA.,MG,TUPACIGUARA,16912.0,30626.0,173.0,1
2025-06-01,mg_zeg_aroeira_tupaciguara,ZEG BIOGÁS AROEIRA SPE LTDA.,MG,TUPACIGUARA,16912.0,30626.0,0.0,0
2025-07-01,mg_zeg_aroeira_tupaciguara,ZEG BIOGÁS AROEIRA SPE LTDA.,MG,TUPACIGUARA,16912.0,30626.0,2196.0,7
2025-08-01,mg_zeg_aroeira_tupaciguara,ZEG BIOGÁS AROEIRA SPE LTDA.,MG,TUPACIGUARA,16912.0,30626.0,3649.0,12
