uf,municipality,ibge_code,operator,source_subtype,feedstock,consumption_class,consumer_type,porte,elec_capacity_kw,connection_date,lat,lon,sector,data_confidence,source_name,source_url,dup_group_size
CE,Aquiraz,2301000,J REIS AVICOLA LTDA,Biogás-AGR,agricultural_residues,Rural,PJ,Microgeracao,36.0,,-4.03,-38.45,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
CE,Paracuru,2310209,(redacted),Biogás-AGR,agricultural_residues,Rural,PF,Microgeracao,65.0,,-3.56,-39.1,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,2
CE,Paracuru,2310209,(redacted),Biogás-AGR,agricultural_residues,Rural,PF,Microgeracao,65.0,,-3.56,-39.1,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,2
CE,Redenção,2311603,(redacted),Biogás-AGR,agricultural_residues,Rural,PF,Microgeracao,69.0,,-4.24,-38.77,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
ES,Cachoeiro de Itapemirim,3201209,TELEFONICA BRASIL S A,Biogás - RA,animal_manure_agro,Comercial,PJ,Minigeracao,2220.0,,-20.79,-41.17,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
ES,Cachoeiro de Itapemirim,3201209,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,259.0,,-20.7,-41.2,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
ES,Cachoeiro de Itapemirim,3201209,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,112.5,,-20.7,-41.18,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
ES,Cachoeiro de Itapemirim,3201209,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-20.67,-41.24,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
ES,Cariacica,3201308,CONSORCIO CARIACICA I,Biogás - RA,animal_manure_agro,Comercial,PJ,Minigeracao,1000.0,,-20.25,-40.39,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,2
ES,Cariacica,3201308,CONSORCIO CARIACICA III,Biogás - RA,animal_manure_agro,Comercial,PJ,Minigeracao,1000.0,,-20.25,-40.39,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,2
