CodGeracaoDistribuida;NomTitularEmpreendimento;SigUF;NomMunicipio;CodMunicipioIbge;DscFonteGeracao;DscClasseConsumo;SigTipoConsumidor;DscPorte;MdaPotenciaInstaladaKW;DatConexao;NumCoordNEmpreendimento;NumCoordEEmpreendimento
;***;CE;Redenção;2311603;Biogás-AGR;Rural;PF;Microgeracao;69,00;;-4,24;-38,77
;J REIS AVICOLA LTDA;CE;Aquiraz;2301000;Biogás-AGR;Rural;PJ;Microgeracao;36,00;;-4,03;-38,45
;***;CE;Paracuru;2310209;Biogás-AGR;Rural;PF;Microgeracao;65,00;;-3,56;-39,10
;***;CE;Paracuru;2310209;Biogás-AGR;Rural;PF;Microgeracao;65,00;;-3,56;-39,10
;***;ES;Cachoeiro de Itapemirim;3201209;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,67;-41,24
;***;ES;Cachoeiro de Itapemirim;3201209;Biogás - RA;Rural;PF;Minigeracao;259,00;;-20,70;-41,20
;CONSORCIO CARIACICA II;ES;Cariacica;3201308;Biogás - RA;Comercial;PJ;Minigeracao;999,00;;-20,25;-40,39
;CONSORCIO CARIACICA I;ES;Cariacica;3201308;Biogás - RA;Comercial;PJ;Minigeracao;1000,00;;-20,25;-40,39
;CONSORCIO CARIACICA III;ES;Cariacica;3201308;Biogás - RA;Comercial;PJ;Minigeracao;1000,00;;-20,25;-40,39
;***;ES;Muqui;3203809;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,87;-41,27
;***;ES;Muqui;3203809;Biogás - RA;Rural;PF;Minigeracao;78,00;;-20,93;-41,36
;***;ES;Viana;3205101;Biogás - Floresta;Rural;PF;Minigeracao;150,00;;-20,64;-40,51
;***;ES;Muqui;3203809;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,89;-41,29
;TELEFONICA BRASIL S A;ES;Cachoeiro de Itapemirim;3201209;Biogás - RA;Comercial;PJ;Minigeracao;2220,00;;-20,79;-41,17
;CONSORCIO CARIACICA V;ES;Cariacica;3201308;Biogás - RA;Comercial;PJ;Minigeracao;999,00;;-20,24;-40,38
;CONSORCIO CARIACICA IV;ES;Cariacica;3201308;Biogás - RA;Comercial;PJ;Minigeracao;999,00;;-20,24;-40,38
;***;ES;Cachoeiro de Itapemirim;3201209;Biogás - RA;Rural;PF;Minigeracao;112,50;;-20,70;-41,18
;***;ES;Muqui;3203809;Biogás - RA;Industrial;PF;Minigeracao;77,60;;-20,07;-41,04
;***;GO;Rio Verde;5218805;Biogás - RA;Rural;PF;Minigeracao;120,00;;-18,10;-50,73
;***;GO;Rio Verde;5218805;Biogás - RA;Rural;PF;Minigeracao;201,60;;-18,10;-50,73
;Granja Leiteira Sol Dourado LTDA;GO;Gameleira de Goiás;5208152;Biogás - RA;Rural;PJ;Minigeracao;211,00;;-16,41;-48,72
;***;GO;Rio Verde;5218805;Biogás - RA;Rural;PF;Minigeracao;77,00;;-18,15;-50,99
;***;GO;Inhumas;5210000;Biogás - RA;Rural;PF;Microgeracao;62,50;;-16,25;-49,48
;***;GO;Rio Verde;5218805;Biogás - RA;Rural;PF;Minigeracao;210,00;;-18,10;-50,73
;***;GO;Rio Verde;5218805;Biogás - RA;Rural;PF;Minigeracao;211,20;;-18,10;-50,73
;***;GO;Rio Verde;5218805;Biogás - RA;Rural;PF;Minigeracao;160,00;;-18,10;-50,73
;Soagro Sociedade Agropecuaria;GO;Rio Verde;5218805;Biogás - RA;Rural;PJ;Minigeracao;75,60;;-18,10;-50,73
;***;GO;Cachoeira Alta;5204102;Biogás - RA;Residencial;PF;Minigeracao;134,40;;-18,53;-51,00
;***;GO;Rio Verde;5218805;Biogás - RA;Rural;PF;Microgeracao;65,00;;-18,10;-50,73
;***;GO;Pontalina;5217708;Biogás - RA;Rural;PF;Microgeracao;29,60;;-17,58;-49,39
;***;GO;Piracanjuba;5217104;Biogás - RA;Rural;PF;Minigeracao;85,32;;-17,18;-48,99
;AGROPECUÁRIA SORGATTO LTDA;GO;Cristalina;5206206;Biogás-AGR;Rural;PJ;Minigeracao;3000,00;;-16,39;-47,54
;***;GO;Rio Verde;5218805;Biogás - RA;Rural;PF;Minigeracao;249,00;;-17,88;-51,18
;SEMPRE SEMENTES EIRELI;GO;Santa Helena de Goiás;5219308;Biogás - Floresta;Comercial;PJ;Minigeracao;1000,00;;-17,76;-50,57
;***;GO;Cachoeira Alta;5204102;Biogás - RA;Rural;PF;Microgeracao;2,10;;-18,55;-51,10
;***;GO;Inhumas;5210000;Biogás - RU;Rural;PF;Minigeracao;192,00;;-16,31;-49,51
;***;GO;Orizona;5215306;Biogás - RA;Rural;PF;Microgeracao;75,00;;-17,03;-48,34
;***;GO;Morrinhos;5213806;Biogás - RU;Industrial;PF;Microgeracao;52,25;;-17,71;-48,96
;***;GO;Rio Verde;5218805;Biogás - Floresta;Rural;PF;Microgeracao;75,00;;-17,72;-50,95
;***;GO;Inhumas;5210000;Biogás-AGR;Comercial;PF;Minigeracao;135,63;;-16,31;-49,51
;CONSORCIO VALORGAS ENERGIA SUSTENTAVEL;MA;Rosário;2109601;Biogás - RA;Comercial;PJ;Minigeracao;1056,00;;-3,02;-44,19
;CONSORCIO VALORGAS ENERGIA SUSTENTAVEL M;MA;Rosário;2109601;Biogás - RA;Comercial;PJ;Minigeracao;971,52;;-3,02;-44,19
;CONSORCIO VALORGAS ENERGIA SUST III;MA;Rosário;2109601;Biogás - RA;Comercial;PJ;Minigeracao;1056,00;;-2,93;-44,28
;***;MG;Presidente Olegário;3153400;Biogás - RA;Comercial;PF;Minigeracao;264,00;;;
;SEAP INVESTIMENTOS RURAIS LTDA;MG;Uberlândia;3170206;Biogás-AGR;Rural;PJ;Microgeracao;69,76;;-19,17;-48,49
;***;MG;Jequeri;3135506;Biogás-AGR;Rural;PF;Minigeracao;200,00;;-20,36;-42,68
;***;MG;Lima Duarte;3138609;Biogás-AGR;Rural;PF;Microgeracao;61,60;;-21,87;-43,89
