Mês/Ano,Região,Estado,Produto,Produção (m³)
04/2026,NORDESTE,Ceará,BIOMETANO,2033003
04/2026,NORDESTE,Pernambuco,BIOMETANO,1924423
04/2026,SUDESTE,Minas Gerais,BIOMETANO,32.009
04/2026,SUDESTE,Rio de Janeiro,BIOMETANO,3253322.33
04/2026,SUDESTE,São Paulo,BIOMETANO,3293745.043
04/2026,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,231407
04/2026,SUL,Paraná,BIOMETANO COMPRIMIDO,361194
04/2026,SUL,Rio Grande do Sul,BIOMETANO,2067383
04/2026,SUL,Santa Catarina,BIOMETANO,125398.74
03/2026,NORDESTE,Ceará,BIOMETANO,2162653
03/2026,NORDESTE,Pernambuco,BIOMETANO,1241783
03/2026,SUDESTE,Rio de Janeiro,BIOMETANO,3829281.72
03/2026,SUDESTE,São Paulo,BIOMETANO,2503667.391
03/2026,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,313974
03/2026,SUL,Paraná,BIOMETANO COMPRIMIDO,442891
03/2026,SUL,Rio Grande do Sul,BIOMETANO,1920311
02/2026,NORDESTE,Ceará,BIOMETANO,1985196
02/2026,NORDESTE,Pernambuco,BIOMETANO,361848
02/2026,SUDESTE,Rio de Janeiro,BIOMETANO,3608342.63
02/2026,SUDESTE,São Paulo,BIOMETANO,3126561.334
02/2026,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,151395
02/2026,SUL,Paraná,BIOMETANO COMPRIMIDO,302851
02/2026,SUL,Rio Grande do Sul,BIOMETANO,1833895
01/2026,NORDESTE,Ceará,BIOMETANO,2161253
01/2026,NORDESTE,Pernambuco,BIOMETANO,398136
01/2026,SUDESTE,Rio de Janeiro,BIOMETANO,3831723.03
01/2026,SUDESTE,São Paulo,BIOMETANO,2936420.407
01/2026,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,42264
01/2026,SUL,Paraná,BIOMETANO COMPRIMIDO,330941
01/2026,SUL,Rio Grande do Sul,BIOMETANO,2100499
12/2025,NORDESTE,Ceará,BIOMETANO,2003165
12/2025,NORDESTE,Pernambuco,BIOMETANO,449336
12/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3771089.08
12/2025,SUDESTE,São Paulo,BIOMETANO,3531573.972
12/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,97593
12/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,243290
12/2025,SUL,Rio Grande do Sul,BIOMETANO,1652545
11/2025,NORDESTE,Ceará,BIOMETANO,1827558
11/2025,NORDESTE,Pernambuco,BIOMETANO,14119
11/2025,SUDESTE,Minas Gerais,BIOMETANO,4.329
11/2025,SUDESTE,Rio de Janeiro,BIOMETANO,4244918.53
11/2025,SUDESTE,São Paulo,BIOMETANO,4177735.287
11/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,211516
11/2025,SUL,Rio Grande do Sul,BIOMETANO,1775753
10/2025,NORDESTE,Ceará,BIOMETANO,1930503
10/2025,SUDESTE,Minas Gerais,BIOMETANO,56.569
10/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3836876.84
10/2025,SUDESTE,São Paulo,BIOMETANO,4564316.272
10/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,31362
10/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,75560
10/2025,SUL,Rio Grande do Sul,BIOMETANO,1473177
09/2025,NORDESTE,Ceará,BIOMETANO,1549311
09/2025,SUDESTE,Minas Gerais,BIOMETANO,66.091
09/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3774827.69
09/2025,SUDESTE,São Paulo,BIOMETANO,3284187.017
09/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,61719
09/2025,SUL,Rio Grande do Sul,BIOMETANO,1618521
08/2025,NORDESTE,Ceará,BIOMETANO,1673109
08/2025,SUDESTE,Minas Gerais,BIOMETANO,63.352
08/2025,SUDESTE,Rio de Janeiro,BIOMETANO,4275665.91
08/2025,SUDESTE,São Paulo,BIOMETANO,4794569.148
08/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,93200
08/2025,SUL,Rio Grande do Sul,BIOMETANO,833677
07/2025,NORDESTE,Ceará,BIOMETANO,1765397
07/2025,SUDESTE,Minas Gerais,BIOMETANO,38.127
07/2025,SUDESTE,Rio de Janeiro,BIOMETANO,4419937.87
07/2025,SUDESTE,São Paulo,BIOMETANO,4844072.67
07/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,81805
06/2025,NORDESTE,Ceará,BIOMETANO,1735936
06/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3873931.25
06/2025,SUDESTE,São Paulo,BIOMETANO,3982950.966
06/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,125177
05/2025,NORDESTE,Ceará,BIOMETANO,1882331
05/2025,SUDESTE,Minas Gerais,BIOMETANO,3
05/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3806902.81
05/2025,SUDESTE,São Paulo,BIOMETANO,3745586.619
05/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,19761
05/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,122469
04/2025,NORDESTE,Ceará,BIOMETANO,1899201
04/2025,SUDESTE,Minas Gerais,BIOMETANO,0.4
04/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3814217.01
04/2025,SUDESTE,São Paulo,BIOMETANO,2458752.724
04/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,12979
03/2025,NORDESTE,Ceará,BIOMETANO,2011279
03/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3573446.201
03/2025,SUDESTE,São Paulo,BIOMETANO,3657731.611
03/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,143175
02/2025,NORDESTE,Ceará,BIOMETANO,1853861
02/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3364408.57
02/2025,SUDESTE,São Paulo,BIOMETANO,1232599.864
01/2025,NORDESTE,Ceará,BIOMETANO,1710366
01/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3907559.97
01/2025,SUDESTE,São Paulo,BIOMETANO,1925608.547
12/2024,NORDESTE,Ceará,BIOMETANO,1942316
12/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3286379.6
12/2024,SUDESTE,São Paulo,BIOMETANO,2015923.419
11/2024,NORDESTE,Ceará,BIOMETANO,1717232
11/2024,SUDESTE,Rio de Janeiro,BIOMETANO,4049829.7
11/2024,SUDESTE,São Paulo,BIOMETANO,1645880.564
10/2024,NORDESTE,Ceará,BIOMETANO,2014537
10/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3917078.22
10/2024,SUDESTE,São Paulo,BIOMETANO,1587269.163
09/2024,NORDESTE,Ceará,BIOMETANO,2065365
09/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3108845.51
09/2024,SUDESTE,São Paulo,BIOMETANO,709414.991
08/2024,NORDESTE,Ceará,BIOMETANO,2200932
08/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3728639.58
08/2024,SUDESTE,São Paulo,BIOMETANO,578799.913
07/2024,NORDESTE,Ceará,BIOMETANO,2533705
07/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3674404.722
07/2024,SUDESTE,São Paulo,BIOMETANO,431095.057
06/2024,NORDESTE,Ceará,BIOMETANO,2441909
06/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3928722.68
06/2024,SUDESTE,São Paulo,BIOMETANO,361014.782
05/2024,NORDESTE,Ceará,BIOMETANO,2484623
05/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3007478.69
05/2024,SUDESTE,São Paulo,BIOMETANO,646669.887
04/2024,NORDESTE,Ceará,BIOMETANO,2333336
04/2024,SUDESTE,Rio de Janeiro,BIOMETANO,3959627.85
04/2024,SUDESTE,São Paulo,BIOMETANO,617597.659
03/2024,NORDESTE,Ceará,BIOMETANO,2321845
03/2024,SUDESTE,Rio de Janeiro,BIOMETANO,4121112.024
03/2024,SUDESTE,São Paulo,BIOMETANO,761024.896
02/2024,NORDESTE,Ceará,BIOMETANO,1873174
02/2024,SUDESTE,Rio de Janeiro,BIOMETANO,4046714.57
02/2024,SUDESTE,São Paulo,BIOMETANO,612487.07
01/2024,NORDESTE,Ceará,BIOMETANO,1805984
01/2024,SUDESTE,Rio de Janeiro,BIOMETANO,4135775.31
01/2024,SUDESTE,São Paulo,BIOMETANO,859037.212
12/2023,NORDESTE,Ceará,BIOMETANO,1804975
12/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3671877.54
12/2023,SUDESTE,São Paulo,BIOMETANO,625187.383
11/2023,NORDESTE,Ceará,BIOMETANO,1726793
11/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3544679.294
11/2023,SUDESTE,São Paulo,BIOMETANO,704202.684
10/2023,NORDESTE,Ceará,BIOMETANO,2058088
10/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3897429.9
10/2023,SUDESTE,São Paulo,BIOMETANO,908523.549
09/2023,NORDESTE,Ceará,BIOMETANO,1962794
09/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3380932.95
09/2023,SUDESTE,São Paulo,BIOMETANO,800639.096
08/2023,NORDESTE,Ceará,BIOMETANO,2113252
08/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3724225.24
08/2023,SUDESTE,São Paulo,BIOMETANO,687711.394
07/2023,NORDESTE,Ceará,BIOMETANO,2232205
07/2023,SUDESTE,Rio de Janeiro,BIOMETANO,4028086.73
07/2023,SUDESTE,São Paulo,BIOMETANO,672687.355
06/2023,NORDESTE,Ceará,BIOMETANO,2139708
06/2023,SUDESTE,Rio de Janeiro,BIOMETANO,4012685.54
06/2023,SUDESTE,São Paulo,BIOMETANO,815781.921
05/2023,NORDESTE,Ceará,BIOMETANO,2439020
05/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3225840.42
