ibge_code,municipality_name,ghw_aquaculture,ghw_cattle,ghw_citrus,ghw_coffee,ghw_corn,ghw_forestry,ghw_poultry,ghw_rpo_pruning,ghw_rsu_organic,ghw_soybean,ghw_sugarcane,ghw_swine,mun_potential_class,nm_rgint,mun_dominant_stream,mun_total_gwh,mun_n_streams,lat,lon,cluster_id,cluster_label,cluster_k
3500105,Adamantina,0.0,55.4064,0.0,1.7833,2.4616,0.3258,0.5002,0.243,12.1179,2.4033,226.9022,4.6221,MÉDIO,Presidente Prudente,sugarcane,306.7658,10,-21.576682210920264,-51.056802358755256,0,sugarcane-dominated,4
3500204,Adolfo,0.0,4.8055,9.5583,0.0,2.6045,0.0102,0.0099,0.0305,1.52,8.0308,161.3374,0.9812,MÉDIO,São José do Rio Preto,sugarcane,188.88830000000002,10,-21.288685099671543,-49.653283445580875,0,sugarcane-dominated,4
3500303,Aguaí,0.0,5.8571,49.5928,2.1326,113.4199,7.4588,5.0099,0.2247,11.2043,28.3092,278.3425,9.0926,ALTO,Campinas,sugarcane,510.64439999999996,11,-22.049956302083515,-47.04031989294538,1,soybean-intensive,4
3500402,Águas da Prata,0.0,17.2345,0.0,3.8016,8.0654,1.1463,0.0523,0.0516,2.5744,0.4816,0.0,0.2273,BAIXO,Campinas,cattle,33.635,9,-21.913710333867165,-46.691677607834755,0,sugarcane-dominated,4
3500501,Águas de Lindóia,0.0004,6.0846,0.065,1.2981,0.9746,0.6093,0.9422,0.1256,6.2638,0.0,0.0,0.1515,BAIXO,Campinas,rsu_organic,16.5151,10,-22.474823173496965,-46.6036720808946,0,sugarcane-dominated,4
3500550,Águas de Santa Bárbara,0.0001,12.9959,44.5251,0.2163,78.1337,63.0299,10.1527,0.0503,2.5073,102.0286,95.5924,45.073,MÉDIO,Sorocaba,soybean,454.3053,12,-22.85795483690765,-49.26103703543736,1,soybean-intensive,4
3500600,Águas de São Pedro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195,0.9712,0.0,0.0,0.0,BAIXO,Campinas,rsu_organic,0.9906999999999999,2,-22.598649693262153,-47.87608964724377,0,sugarcane-dominated,4
3500709,Agudos,0.0,40.932,13.2973,0.0,0.0,162.8375,3.335,0.264,13.1635,17.0052,179.0951,109.8694,ALTO,Bauru,sugarcane,539.799,9,-22.57193420521978,-49.10876753978452,1,soybean-intensive,4
3500758,Alambari,0.0,11.263,3.0287,0.0,17.307,24.0788,5.9502,0.043,2.1454,16.7594,4.4985,72.3623,MÉDIO,Sorocaba,swine,157.4363,10,-23.54892702783309,-47.869055054270746,0,sugarcane-dominated,4
3500808,Alfredo Marcondes,0.0,33.3098,0.0,0.0,1.3722,0.0,0.0307,0.0311,1.5529,0.0,0.0,1.6859,BAIXO,Presidente Prudente,cattle,37.982600000000005,6,-21.934972952987927,-51.39565497565409,0,sugarcane-dominated,4
3500907,Altair,0.0,51.8652,21.3307,0.0,10.0818,0.0024,0.0875,0.0242,1.2056,13.2699,359.8771,8.7896,MÉDIO,São José do Rio Preto,sugarcane,466.534,11,-20.533337784910675,-49.093860814913334,0,sugarcane-dominated,4
3501004,Altinópolis,0.0,24.2361,5.2698,61.4122,36.79,141.3247,6.8793,0.1178,5.8753,21.1385,480.8543,1.5912,ALTO,Ribeirão Preto,sugarcane,785.4892,11,-21.018047253190506,-47.38624830511379,0,sugarcane-dominated,4
3501103,Alto Alegre,0.0,32.8278,0.0,0.1144,1.8399,0.5103,0.0702,0.0269,1.3418,2.8309,234.9773,1.3525,MÉDIO,Araçatuba,sugarcane,275.892,10,-21.612539783313004,-50.19211677311356,0,sugarcane-dominated,4
3501152,Alumínio,0.0,1.0502,0.0,0.0,4.3688,0.0,0.0,0.1212,6.0441,0.0,0.0,0.341,BAIXO,Sorocaba,rsu_organic,11.925300000000002,5,-23.533000388576102,-47.28124763233842,0,sugarcane-dominated,4
3501202,Álvares Florence,0.0,59.5171,1.4792,0.0155,5.797,1.7901,20.937,0.0274,1.3677,15.9239,175.0184,3.2203,MÉDIO,São José do Rio Preto,sugarcane,285.09360000000004,11,-20.289554435261646,-49.920251463230436,0,sugarcane-dominated,4
3501301,Álvares Machado,0.0,70.8865,0.0,0.0,6.5111,0.0,0.1092,0.1909,9.5215,0.4325,22.1811,6.63,MÉDIO,Presidente Prudente,cattle,116.4628,8,-22.1315046738704,-51.51492033095594,0,sugarcane-dominated,4
3501400,Álvaro de Carvalho,0.0,14.9658,0.0,2.5498,3.5006,4.3968,0.0014,0.0337,1.6797,0.7372,0.0,0.0947,BAIXO,Marília,cattle,27.959699999999998,9,-22.08652416308833,-49.73398937637143,0,sugarcane-dominated,4
3501509,Alvinlândia,0.0,8.3816,2.4644,4.874,1.5123,8.4795,0.0,0.0202,1.0079,0.7372,0.0,0.0455,BAIXO,Marília,forestry,27.5226,9,-22.45255221199713,-49.758530644093575,0,sugarcane-dominated,4
3501608,Americana,0.0,1.0974,0.0,0.0,0.0,0.0,0.0,1.6619,82.8795,0.0,5.3982,0.0,BAIXO,Campinas,rsu_organic,91.03699999999999,4,-22.723242943243676,-47.28911884357989,0,sugarcane-dominated,4
3501707,Américo Brasiliense,0.0,0.3164,1.0096,0.0371,0.6161,0.0,0.0161,0.2313,11.5351,0.0,188.9355,0.3789,MÉDIO,Araraquara,sugarcane,203.0761,9,-21.72232779835966,-48.0323773429233,0,sugarcane-dominated,4
3501806,Américo de Campos,0.0,30.9104,1.5317,0.0464,3.3606,0.4554,4.4865,0.0411,2.0507,3.5386,168.6924,1.8943,MÉDIO,São José do Rio Preto,sugarcane,217.0081,11,-20.28938610904005,-49.76801794717493,0,sugarcane-dominated,4
3501905,Amparo,0.0057,36.5305,4.9509,4.9142,22.0791,23.6091,62.2128,0.4764,23.7585,3.8827,22.6048,6.4406,MÉDIO,Campinas,poultry,211.4653,12,-22.699128789672308,-46.79872856370018,0,sugarcane-dominated,4
3502002,Analândia,0.0,15.2149,7.689,1.533,7.6369,21.5128,4.3968,0.0321,1.6032,5.5144,191.1847,9.4715,MÉDIO,Campinas,sugarcane,265.78929999999997,11,-22.121084615402694,-47.67795534865884,0,sugarcane-dominated,4
3502101,Andradina,0.0,70.0019,0.0,0.0,13.2743,0.0,0.1324,0.4188,20.8851,0.199,793.3126,58.7233,ALTO,Araçatuba,sugarcane,956.9474,8,-20.835600180438853,-51.32971778270221,0,sugarcane-dominated,4
3502200,Angatuba,0.0,59.7365,43.427,0.0371,172.9023,199.2162,34.295,0.1683,8.3921,77.4079,0.0,17.9959,ALTO,Sorocaba,forestry,613.5783,10,-23.436841876689716,-48.45933416351353,1,soybean-intensive,4
3502309,Anhembi,0.0,43.423,34.7493,0.0,8.3455,42.2404,0.8973,0.0397,1.9822,2.5803,298.7824,7.5772,MÉDIO,Bauru,sugarcane,440.6173,10,-22.800067361899604,-48.174731117996586,0,sugarcane-dominated,4
3502408,Anhumas,0.0,36.2531,0.0,0.3709,11.7061,1.2562,0.181,0.0282,1.4054,3.5583,182.1878,2.5762,MÉDIO,Presidente Prudente,sugarcane,239.5232,10,-22.362024282318536,-51.42777944453858,0,sugarcane-dominated,4
3502507,Aparecida,0.0,6.1748,0.0,0.0,0.0,0.0,0.0105,0.2282,11.3779,0.0,0.0,1.0608,BAIXO,São José dos Campos,rsu_organic,18.8522,5,-22.914206040127134,-45.23721921739436,0,sugarcane-dominated,4
3502606,Aparecida d'Oeste,0.0,29.7565,1.4099,0.0,1.123,1.8843,0.044,0.0286,1.4274,0.2654,31.5455,2.1065,BAIXO,São José do Rio Preto,sugarcane,69.5911,10,-20.478803390485268,-50.921977259459666,0,sugarcane-dominated,4
3502705,Apiaí,0.0,8.0316,0.0313,0.0,100.8177,20.9271,0.3739,0.1722,8.5887,11.0583,0.0,3.7886,MÉDIO,Sorocaba,corn,153.7894,9,-24.4214703338988,-48.81735731705966,0,sugarcane-dominated,4
3502754,Araçariguama,0.0,2.6929,0.0511,0.0,2.0164,0.0,0.0,0.1508,7.5187,0.0,0.0,0.4167,BAIXO,Sorocaba,rsu_organic,12.846599999999999,6,-23.434433886245838,-47.07237501418517,0,sugarcane-dominated,4
3502804,Araçatuba,0.0,84.0197,0.0,0.1854,34.5076,0.0,0.8435,1.4019,69.9131,51.9469,685.0899,4.1675,ALTO,Araçatuba,sugarcane,932.0754999999999,9,-21.113857858686057,-50.57449809284505,0,sugarcane-dominated,4
3502903,Araçoiaba da Serra,0.0,6.1937,2.9172,0.0247,17.9231,6.3282,1.1665,0.2273,11.3339,18.4305,7.5912,37.886,MÉDIO,Sorocaba,swine,110.0223,11,-23.54386392339011,-47.65153572243858,0,sugarcane-dominated,4
3503000,Aramina,0.0,2.3603,0.0,0.0,2.7333,0.0,1.3056,0.038,1.8935,17.0371,235.7488,1.9132,MÉDIO,Ribeirão Preto,sugarcane,263.02979999999997,8,-20.145046042174975,-47.820643772479904,0,sugarcane-dominated,4
3503109,Arandu,0.0129,12.732,13.2942,6.1196,16.2148,0.0,0.0371,0.0482,2.4053,61.9263,0.8435,63.0423,MÉDIO,Sorocaba,swine,176.6762,11,-23.17769653998183,-49.06403335763393,0,sugarcane-dominated,4
3503158,Arapeí,0.0,10.233,0.024,0.0,0.3025,0.0,0.0314,0.0163,0.814,0.0,1.0782,0.4546,BAIXO,São José dos Campos,cattle,12.954,9,-22.672911262350695,-44.438589391645735,0,sugarcane-dominated,4
3503208,Araraquara,0.0,13.4335,0.1775,0.2936,12.2689,18.4507,8.4496,1.6968,84.6221,29.4887,877.2005,3.1786,MUITO ALTO,Araraquara,sugarcane,1049.2605,11,-21.791649699520345,-48.18132248290114,0,sugarcane-dominated,4
3503307,Araras,0.0,10.7608,5.1078,0.9056,91.0271,1.0992,0.0,0.9167,45.7179,30.4029,764.7389,7.778,ALTO,Campinas,sugarcane,958.4549,10,-22.346158924154274,-47.3238560060625,0,sugarcane-dominated,4
3503356,Arco-Íris,0.0008,27.9738,0.0,0.0216,3.1506,0.0196,0.0079,0.0143,0.7141,0.0,25.6041,0.4167,BAIXO,Marília,cattle,57.9235,10,-21.766339477818203,-50.430942765825726,0,sugarcane-dominated,4
3503406,Arealva,0.018,50.6036,8.3766,0.0,0.0784,7.3811,7.6271,0.057,2.8402,16.8504,193.9963,45.4632,MÉDIO,Bauru,sugarcane,333.2919,11,-22.07629656285949,-48.98189311028061,0,sugarcane-dominated,4
