intermediate_region,n_municipios,theoretical_m3,real_m3,ideal_m3,theoretical_bi,real_bi,ideal_bi
Ribeirão Preto,64,3713937693.0,1395548464.3909724,1714263679.2032464,3.7139,1.3955,1.7143
São José do Rio Preto,100,2709121462.0,1087476232.1576452,1378715565.8911796,2.7091,1.0875,1.3787
Sorocaba,78,2082667580.0,777317228.2387923,992771027.1644632,2.0827,0.7773,0.9928
Marília,54,1849767222.0,761260197.8090127,970073052.1523007,1.8498,0.7613,0.9701
Bauru,48,1864710087.0,745087059.6061741,939762114.8695334,1.8647,0.7451,0.9398
Presidente Prudente,55,1663710842.0,735182299.9335235,963154818.4369857,1.6637,0.7352,0.9632
Campinas,87,1898470886.0,728019773.390868,913258219.3018869,1.8985,0.728,0.9133
Araçatuba,44,1667081378.0,676173161.4091535,860765715.8356713,1.6671,0.6762,0.8608
Araraquara,26,1357393215.0,511651750.103401,630347276.4531494,1.3574,0.5117,0.6303
São Paulo,50,828154427.0,274867702.37593305,285030813.7592273,0.8282,0.2749,0.285
São José dos Campos,39,265683531.0,139559964.94954652,193035923.9756663,0.2657,0.1396,0.193
