residue_stream,theoretical_m3_CH4_yr,real_atlas_m3_CH4_yr,ideal_atlas_m3_CH4_yr,theoretical_bi,real_bi,ideal_bi
sugarcane,12382565911.0,4467728488.390257,5429368848.99053,12.3826,4.4677,5.4294
corn,1361216163.0,544486465.2000002,680608081.5,1.3612,0.5445,0.6806
soybean,1223083878.0,489233551.20000046,611541939.0,1.2231,0.4892,0.6115
citrus,285156605.0,199609623.49999985,242383114.2500002,0.2852,0.1996,0.2424
coffee,95279430.0,66695601.0,80987515.5,0.0953,0.0667,0.081
cattle,1454267024.0,1225731436.8,1838597155.1999996,1.4543,1.2257,1.8386
swine,603292940.0,20490689.97360001,30736034.96039997,0.6033,0.0205,0.0307
poultry,308529800.0,89003218.045,124604505.26300001,0.3085,0.089,0.1246
aquaculture,130281.0,52112.400000000016,65140.5,0.0001,0.0001,0.0001
rsu,1556169771.0,397584384.3131853,399100967.99155277,1.5562,0.3976,0.3991
rpo,31204438.0,24963550.400000002,29644216.10000001,0.0312,0.025,0.0296
sewage,,66643880.342981406,73639646.78782472,,0.0666,0.0736
forestry,599802082.0,239920832.79999995,299901041.0,0.5998,0.2399,0.2999
STATE_TOTAL,19900698323.0,7832143834.365018,9841178207.043299,19.9007,7.8321,9.8412
