ibge_code,municipality_name,population_2022,cattle_head_2024,swine_head_2024,poultry_head_2024,snis_rdo_t_year,snis_rpu_t_year,snis_rdo_rpu_t_year
3100104,Abadia dos Dourados,6272.0,51915.0,14177.0,110100.0,,,387.0
3100203,Abaeté,22675.0,99276.0,2995.0,47000.0,,,7898.0
3100302,Abre Campo,13927.0,23244.0,49526.0,57000.0,,,1500.0
3100401,Acaiaca,3909.0,4575.0,7120.0,6800.0,,,516.0
3100500,Açucena,8943.0,41077.0,1810.0,35600.0,,,1493.0
3100609,Água Boa,12589.0,63653.0,3888.0,52400.0,,,2580.0
3100708,Água Comprida,2108.0,7085.0,92.0,63000.0,400.0,180.0,580.0
3100807,Aguanil,4357.0,14414.0,653.0,9000.0,,,300.0
3100906,Águas Formosas,18448.0,45804.0,3971.0,41800.0,,,3800.0
3101003,Águas Vermelhas,14037.0,8320.0,1162.0,17815.0,,,
3101102,Aimorés,25269.0,73494.0,1283.0,20050.0,360.0,430.0,790.0
3101201,Aiuruoca,6233.0,26301.0,1400.0,13500.0,,,786.0
3101300,Alagoa,2749.0,7747.0,401.0,2870.0,,,399.0
3101409,Albertina,2952.0,1733.0,198.0,1625.0,425.0,84.0,509.0
3101508,Além Paraíba,30717.0,31445.0,602.0,8650.0,,,5976.0
3101607,Alfenas,78970.0,27260.0,2518.0,82000.0,20764.0,18000.0,38764.0
3101631,Alfredo Vasconcelos,6931.0,6148.0,300.0,186000.0,,,794.3
3101706,Almenara,40364.0,67746.0,2925.0,41300.0,,,16000.0
3101805,Alpercata,6903.0,14328.0,257.0,5600.0,,,2653.0
3101904,Alpinópolis,18300.0,28699.0,2140.0,292000.0,,,3096.4
3102001,Alterosa,13915.0,21226.0,2797.0,417000.0,,,2175.0
3102050,Alto Caparaó,5795.0,819.0,164.0,2450.0,,,260.0
3102100,Alto Rio Doce,10891.0,21811.0,2572.0,23800.0,,,842.6
3102209,Alvarenga,3975.0,14897.0,247.0,15500.0,,,577.0
3102308,Alvinópolis,15059.0,19772.0,3494.0,24900.0,,,2177.0
3102407,Alvorada de Minas,4159.0,14189.0,711.0,6530.0,324.0,0.0,324.0
3102506,Amparo do Serra,4541.0,7487.0,10048.0,9470.0,,,1200.0
3102605,Andradas,40553.0,17615.0,4015.0,15000.0,,,7856.5
3102704,Cachoeira de Pajeú,9110.0,15214.0,1271.0,23650.0,190.0,150.0,340.0
3102803,Andrelândia,11927.0,29972.0,755.0,8414.0,0.0,1536.0,1536.0
3102852,Angelândia,7718.0,2577.0,1089.0,27000.0,1530.0,292.0,1822.0
3102902,Antônio Carlos,11095.0,19708.0,275.0,850000.0,,,1632.4
3103009,Antônio Dias,9219.0,12534.0,590.0,5900.0,,,
3103108,Antônio Prado de Minas,1538.0,6935.0,178.0,3300.0,,,
3103207,Araçaí,2181.0,6596.0,248.0,222000.0,576.0,12.0,588.0
3103306,Aracitaba,2049.0,5882.0,216.0,3520.0,601.1,0.0,601.1
3103405,Araçuaí,34297.0,38465.0,5616.0,74000.0,,,9300.0
3103504,Araguari,117808.0,150854.0,82860.0,691000.0,43839.0,2384.0,46223.0
3103603,Arantina,2915.0,2981.0,85.0,2150.0,,,700.0
3103702,Araponga,8048.0,5721.0,208.0,1500.0,510.4,2.1,512.5
3103751,Araporã,8479.0,4860.0,330.0,1500.0,,,2752.0
3103801,Arapuá,2631.0,19001.0,969.0,9000.0,,,1000.0
3103900,Araújos,9199.0,25233.0,386.0,26200.0,,,576.0
3104007,Araxá,111691.0,55820.0,1124.0,70500.0,,,27489.6
3104106,Arceburgo,9177.0,13151.0,182.0,296000.0,,,4012.0
3104205,Arcos,41416.0,30974.0,1530.0,40250.0,,,14931.0
3104304,Areado,13881.0,18209.0,1073.0,12650.0,,,
3104403,Argirita,2688.0,11340.0,305.0,5800.0,,,538.0
3104452,Aricanduva,4719.0,6975.0,972.0,32800.0,,,1153.0
3104502,Arinos,17272.0,107813.0,7179.0,80500.0,2600.5,2400.0,5000.5
3104601,Astolfo Dutra,14138.0,11245.0,85.0,97000.0,,,4410.0
3104700,Ataléia,13736.0,114287.0,3025.0,28850.0,,,1201.0
3104809,Augusto de Lima,4538.0,31723.0,439.0,8250.0,,,720.0
3104908,Baependi,18366.0,37554.0,900.0,9300.0,4500.0,500.0,5000.0
3105004,Baldim,7492.0,16977.0,636.0,506000.0,,,661.0
3105103,Bambuí,23546.0,82698.0,17109.0,50500.0,4576.5,11000.0,15576.5
3105202,Bandeira,4741.0,21293.0,1159.0,14600.0,,,1189.6
3105301,Bandeira do Sul,5943.0,2757.0,130.0,2200.0,,,1681.4
3105400,Barão de Cocais,30778.0,3270.0,131.0,5150.0,,,8660.0
3105509,Barão do Monte Alto,4964.0,16236.0,520.0,5260.0,,,
3105608,Barbacena,125317.0,29259.0,11265.0,3127500.0,,,23676.6
3105707,Barra Longa,5666.0,17089.0,515.0,10700.0,,,
3105905,Barroso,20080.0,3843.0,417.0,64400.0,,,5286.0
3106002,Bela Vista de Minas,10167.0,1707.0,0.0,1270.0,,,1498.9
3106101,Belmiro Braga,3244.0,18512.0,579.0,6000.0,,,456.0
3106200,Belo Horizonte,2315560.0,602.0,204.0,4400.0,629989.0,100828.8,730817.8
3106309,Belo Oriente,23928.0,7515.0,737.0,11850.0,,,3368.0
3106408,Belo Vale,8627.0,16027.0,462.0,11000.0,,,955.4
3106507,Berilo,9826.0,9664.0,2422.0,41350.0,,,762.0
3106606,Bertópolis,4451.0,31287.0,941.0,5390.0,,,
3106655,Berizal,4201.0,14937.0,570.0,5325.0,,,805.0
3106705,Betim,411846.0,7989.0,546.0,42500.0,,,96848.8
3106804,Bias Fortes,3361.0,14904.0,586.0,7700.0,,,208.0
3106903,Bicas,13978.0,10170.0,127.0,3700.0,2706.0,12.0,2718.0
3107000,Biquinhas,2383.0,23697.0,2256.0,97740.0,,,140.0
3107109,Boa Esperança,39848.0,23924.0,5959.0,53600.0,,,11787.0
3107208,Bocaina de Minas,5348.0,14090.0,589.0,7000.0,,,1373.0
3107307,Bocaiúva,48032.0,77098.0,5814.0,112000.0,,,7530.6
3107406,Bom Despacho,51737.0,78845.0,43652.0,1425000.0,,,22020.0
3107505,Bom Jardim de Minas,6783.0,8557.0,70.0,2100.0,,,1032.0
3107604,Bom Jesus da Penha,4474.0,7537.0,638.0,65700.0,1300.0,485.0,1785.0
3107703,Bom Jesus do Amparo,5631.0,8998.0,366.0,277000.0,,,220.0
3107802,Bom Jesus do Galho,14536.0,25225.0,1560.0,26500.0,,,1650.0
3107901,Bom Repouso,12649.0,14224.0,525.0,9600.0,,,3250.0
3108008,Bom Sucesso,17151.0,40472.0,444.0,12200.0,,,
3108107,Bonfim,7434.0,13111.0,658.0,13400.0,600.0,180.0,780.0
3108206,Bonfinópolis de Minas,5528.0,45867.0,5054.0,23250.0,1100.0,1540.0,2640.0
3108255,Bonito de Minas,10204.0,15970.0,1053.0,40400.0,955.0,0.0,955.0
3108305,Borda da Mata,17404.0,25762.0,992.0,17215.0,,,2897.5
3108404,Botelhos,14828.0,17382.0,7486.0,12150.0,,,2025.0
3108503,Botumirim,5790.0,10476.0,1756.0,31700.0,,,320.0
3108552,Brasilândia de Minas,15020.0,62147.0,4042.0,295000.0,,,4320.0
3108602,Brasília de Minas,32025.0,40622.0,5484.0,96250.0,,,13500.0
3108701,Brás Pires,4260.0,4538.0,136.0,1680.0,,,500.0
3108800,Braúnas,4441.0,15527.0,850.0,14200.0,,,912.0
3108909,Brazópolis,14246.0,26076.0,473.0,2200.0,,,2411.0
3109006,Brumadinho,38915.0,15299.0,11486.0,13350.0,,,27878.0
3109105,Bueno Brandão,10911.0,26616.0,1084.0,18600.0,,,1224.1
3109204,Buenópolis,9150.0,28414.0,864.0,13100.0,,,3200.0
3109253,Bugre,4041.0,8356.0,49.0,2520.0,20.0,560.0,580.0
3109303,Buritis,24030.0,84313.0,8057.0,104600.0,10368.0,3600.0,13968.0
3109402,Buritizeiro,23910.0,83685.0,17362.0,21600.0,,,
3109451,Cabeceira Grande,6627.0,42216.0,1529.0,15000.0,,,2463.0
3109501,Cabo Verde,11410.0,17259.0,5542.0,35260.0,,,2900.0
3109600,Cachoeira da Prata,3693.0,2531.0,258.0,810.0,,,576.0
3109709,Cachoeira de Minas,11883.0,21415.0,5940.0,22800.0,,,1959.5
3109808,Cachoeira Dourada,2315.0,10880.0,195.0,1100.0,,,756.0
3109907,Caetanópolis,11435.0,4864.0,367.0,180000.0,700.0,150.0,850.0
3110004,Caeté,38776.0,8862.0,1201.0,45600.0,,,7229.0
3110103,Caiana,5304.0,3759.0,387.0,4225.0,,,1900.0
3110202,Cajuri,4088.0,2835.0,1768.0,98000.0,,,830.0
3110301,Caldas,14217.0,43893.0,4904.0,36100.0,,,1948.3
3110400,Camacho,2838.0,8909.0,878.0,9000.0,,,803.0
3110509,Camanducaia,26097.0,16062.0,827.0,12600.0,,,7051.4
3110608,Cambuí,29536.0,17725.0,844.0,17670.0,16070.0,1780.0,17850.0
3110707,Cambuquira,12313.0,9991.0,365.0,67000.0,2020.0,2880.0,4900.0
3110806,Campanário,2923.0,18115.0,334.0,6175.0,2230.0,6.0,2236.0
3110905,Campanha,15935.0,7392.0,472.0,41000.0,2420.6,1000.0,3420.6
3111002,Campestre,20696.0,19536.0,2747.0,40000.0,,,2614.7
3111101,Campina Verde,18011.0,341046.0,6051.0,62000.0,,,3100.0
3111150,Campo Azul,3714.0,12155.0,1477.0,24250.0,,,482.0
3111200,Campo Belo,52277.0,42783.0,1459.0,41000.0,,,11396.0
3111309,Campo do Meio,11377.0,4248.0,1451.0,24700.0,,,3000.0
3111408,Campo Florido,8466.0,52775.0,12210.0,55700.0,1404.6,620.0,2024.6
3111507,Campos Altos,12979.0,20161.0,634.0,7720.0,,,2580.0
3111606,Campos Gerais,26105.0,21583.0,7048.0,81350.0,,,4725.0
3111705,Canaã,4715.0,6473.0,1809.0,863000.0,,,520.0
3111804,Canápolis,10608.0,25100.0,12000.0,9600.0,,,1963.0
3111903,Cana Verde,5272.0,19163.0,266.0,5225.0,,,682.7
3112000,Candeias,14001.0,39854.0,1469.0,19350.0,,,1966.9
3112059,Cantagalo,3974.0,7581.0,239.0,6460.0,,,
3112109,Caparaó,5048.0,1533.0,406.0,5350.0,,,1800.0
3112208,Capela Nova,4362.0,4666.0,655.0,7650.0,,,371.2
3112307,Capelinha,39626.0,16718.0,5418.0,78650.0,,,5475.0
3112406,Capetinga,6562.0,10887.0,294.0,4450.0,,,2005.0
3112505,Capim Branco,10663.0,6147.0,248.0,750.0,,,1553.0
3112604,Capinópolis,14655.0,36500.0,5950.0,9800.0,9178.0,1830.0,11008.0
3112653,Capitão Andrade,4585.0,17608.0,651.0,6950.0,527.0,750.0,1277.0
3112703,Capitão Enéas,14108.0,46100.0,2066.0,73450.0,,,9100.0
3112802,Capitólio,10380.0,19887.0,933.0,57400.0,,,4060.9
3112901,Caputira,8936.0,5768.0,1064.0,12950.0,,,600.0
3113008,Caraí,19548.0,22768.0,2054.0,41500.0,,,2600.0
3113107,Caranaíba,2933.0,7043.0,576.0,5320.0,,,173.0
3113206,Carandaí,23812.0,16026.0,7731.0,522000.0,,,3962.0
3113305,Carangola,31240.0,17400.0,1290.0,8900.0,,,7300.0
3113404,Caratinga,87360.0,42164.0,2265.0,37450.0,,,16819.0
3113503,Carbonita,8512.0,4548.0,923.0,16520.0,,,1400.0
3113602,Careaçu,6816.0,16007.0,732.0,13000.0,,,930.0
3113701,Carlos Chagas,18615.0,225330.0,1761.0,17600.0,6667.0,2073.6,8740.6
3113800,Carmésia,2605.0,5213.0,274.0,3800.0,,,561.0
3113909,Carmo da Cachoeira,11547.0,11870.0,516.0,3300.0,1647.5,400.0,2047.5
3114006,Carmo da Mata,11019.0,26422.0,598.0,101000.0,,,1444.1
3114105,Carmo de Minas,13797.0,20514.0,474.0,4550.0,,,3285.0
3114204,Carmo do Cajuru,23479.0,33360.0,1811.0,778800.0,,,10880.0
3114303,Carmo do Paranaíba,29011.0,132165.0,34058.0,119000.0,,,
3114402,Carmo do Rio Claro,20954.0,38410.0,16368.0,268350.0,,,4388.9
3114501,Carmópolis de Minas,18003.0,30565.0,942.0,30000.0,,,3100.0
3114550,Carneirinho,9422.0,187514.0,1915.0,18450.0,,,2526.9
3114600,Carrancas,4049.0,19559.0,700.0,8350.0,,,1050.0
3114709,Carvalhópolis,3341.0,3691.0,1026.0,7720.0,,,471.0
3114808,Carvalhos,4422.0,15439.0,1000.0,7000.0,400.0,190.0,590.0
3114907,Casa Grande,2214.0,9629.0,339.0,3140.0,,,190.0
3115003,Cascalho Rico,2712.0,29539.0,2989.0,275900.0,,,300.0
3115102,Cássia,17155.0,44236.0,646.0,230000.0,,,3132.0
3115201,Conceição da Barra de Minas,3560.0,13577.0,533.0,5820.0,,,262.1
3115300,Cataguases,66261.0,25837.0,6087.0,9120.0,,,12556.1
3115359,Catas Altas,5473.0,1797.0,161.0,3400.0,,,850.0
3115409,Catas Altas da Noruega,3110.0,2799.0,6991.0,5870.0,,,
3115458,Catuji,7030.0,10749.0,445.0,7175.0,500.0,500.0,1000.0
3115474,Catuti,4739.0,10892.0,981.0,9530.0,,,288.0
3115508,Caxambu,21056.0,5019.0,148.0,1700.0,,,5775.3
3115607,Cedro do Abaeté,1081.0,10264.0,476.0,3500.0,,,700.0
3115706,Central de Minas,6171.0,11475.0,638.0,6400.0,,,
3115805,Centralina,10207.0,19900.0,4580.0,4520.0,,,9500.0
3115904,Chácara,3075.0,8288.0,199.0,4500.0,,,740.0
3116001,Chalé,6075.0,11183.0,925.0,16200.0,,,1461.8
3116100,Chapada do Norte,10337.0,7795.0,2693.0,53650.0,1730.0,0.0,1730.0
3116159,Chapada Gaúcha,12355.0,24950.0,2155.0,54300.0,3050.0,1190.0,4240.0
3116209,Chiador,2800.0,13186.0,99.0,915.0,,,573.0
3116308,Cipotânea,5581.0,5838.0,621.0,7450.0,,,900.0
3116407,Claraval,4658.0,9024.0,1155.0,17600.0,,,1750.0
3116506,Claro dos Poções,7166.0,24700.0,1198.0,33400.0,3840.0,100.0,3940.0
3116605,Cláudio,30159.0,43699.0,36512.0,550000.0,6390.8,0.0,6390.8
3116704,Coimbra,7117.0,6293.0,28275.0,753200.0,,,2244.0
3116803,Coluna,8163.0,17256.0,1366.0,16860.0,,,540.0
3116902,Comendador Gomes,2773.0,70901.0,973.0,251300.0,,,288.0
3117009,Comercinho,6660.0,15878.0,2172.0,32780.0,,,860.0
3117108,Conceição da Aparecida,10371.0,15298.0,1435.0,58550.0,,,1530.0
3117207,Conceição das Pedras,2772.0,5730.0,294.0,2020.0,,,700.0
3117306,Conceição das Alagoas,28381.0,36562.0,1672.0,54500.0,,,5253.5
3117405,Conceição de Ipanema,4409.0,17885.0,1420.0,19000.0,,,314.0
3117504,Conceição do Mato Dentro,23163.0,31619.0,1873.0,42570.0,,,4806.0
3117603,Conceição do Pará,5415.0,14845.0,40014.0,1307500.0,,,755.0
3117702,Conceição do Rio Verde,12541.0,18099.0,165.0,1980.0,,,2300.0
3117801,Conceição dos Ouros,10880.0,11739.0,720.0,9300.0,,,1838.0
3117836,Cônego Marinho,7237.0,9591.0,1863.0,30615.0,308.0,96.0,404.0
3117876,Confins,7350.0,776.0,0.0,380.0,1524.3,157.6,1681.9
3117900,Congonhal,11083.0,15468.0,878.0,12650.0,2297.0,184.0,2481.0
3118007,Congonhas,52890.0,3252.0,786.0,3620.0,,,12099.9
3118106,Congonhas do Norte,4831.0,5783.0,281.0,7225.0,,,
3118205,Conquista,6694.0,20129.0,538.0,94000.0,,,1334.6
3118304,Conselheiro Lafaiete,131621.0,14710.0,9700.0,6960.0,,,28875.9
3118403,Conselheiro Pena,20824.0,62192.0,1392.0,27630.0,7060.0,0.0,7060.0
3118502,Consolação,1563.0,7888.0,196.0,5270.0,,,185.0
3118601,Contagem,621863.0,1295.0,293.0,2500.0,,,183565.3
3118700,Coqueiral,9023.0,10061.0,1255.0,25450.0,,,1492.1
3118809,Coração de Jesus,25377.0,60233.0,6905.0,109500.0,,,1500.0
3118908,Cordisburgo,7547.0,28378.0,1118.0,407000.0,,,757.0
3119005,Cordislândia,3200.0,8585.0,258.0,4780.0,,,939.0
3119104,Corinto,23532.0,55716.0,10874.0,26615.0,,,4746.8
3119203,Coroaci,10884.0,15971.0,441.0,9235.0,,,1801.7
3119302,Coromandel,28894.0,112188.0,120468.0,77850.0,5000.0,1000.0,6000.0
3119401,Coronel Fabriciano,104736.0,1014.0,53.0,3095.0,21062.6,0.0,21062.6
3119500,Coronel Murta,8200.0,16697.0,2241.0,28450.0,1008.4,198.0,1206.4
3119609,Coronel Pacheco,2762.0,9522.0,180.0,6360.0,,,850.0
3119708,Coronel Xavier Chaves,3486.0,6445.0,819.0,335000.0,977.6,52.0,1029.6
3119807,Córrego Danta,2960.0,28381.0,3382.0,22750.0,,,275.0
3119906,Córrego do Bom Jesus,4272.0,7055.0,193.0,1925.0,673.0,0.0,673.0
3119955,Córrego Fundo,6133.0,6091.0,628.0,13700.0,,,856.0
3120003,Córrego Novo,2875.0,10261.0,335.0,6025.0,435.0,542.0,977.0
3120102,Couto de Magalhães de Minas,4245.0,2076.0,157.0,7500.0,1840.0,64.0,1904.0
3120151,Crisólita,5265.0,56108.0,1056.0,12300.0,,,897.0
3120201,Cristais,12197.0,27508.0,2805.0,23375.0,2016.0,100.0,2116.0
3120300,Cristália,5121.0,5553.0,1031.0,26600.0,,,1450.0
3120409,Cristiano Otoni,4667.0,9484.0,704.0,9000.0,,,2324.0
3120508,Cristina,10374.0,23858.0,818.0,11050.0,,,154.0
3120607,Crucilândia,5434.0,10200.0,1111.0,22200.0,,,600.0
3120706,Cruzeiro da Fortaleza,3521.0,24869.0,571.0,5425.0,,,
3120805,Cruzília,15362.0,21805.0,971.0,9360.0,2294.4,0.0,2294.4
3120839,Cuparaque,3983.0,15736.0,436.0,7610.0,,,212.0
3120870,Curral de Dentro,7406.0,8591.0,909.0,9850.0,,,335.0
3120904,Curvelo,80665.0,94375.0,32706.0,147200.0,,,17672.9
3121001,Datas,5465.0,1894.0,186.0,3500.0,0.0,630.0,630.0
3121100,Delfim Moreira,7952.0,14113.0,672.0,7500.0,,,979.0
3121209,Delfinópolis,8393.0,37697.0,1312.0,13500.0,,,864.0
3121258,Delta,10494.0,3419.0,332.0,96000.0,,,1850.0
3121308,Descoberto,4928.0,11867.0,151.0,22550.0,,,1116.0
3121407,Desterro de Entre Rios,7653.0,15063.0,1630.0,24000.0,,,692.0
3121506,Desterro do Melo,2994.0,7772.0,806.0,50800.0,,,280.0
3121605,Diamantina,47702.0,14750.0,970.0,26000.0,,,17670.0
3121704,Diogo de Vasconcelos,3549.0,5374.0,654.0,15350.0,,,261.3
3121803,Dionísio,6847.0,11946.0,407.0,11700.0,,,890.0
3121902,Divinésia,4226.0,5194.0,204.0,55700.0,500.0,260.0,760.0
3122009,Divino,20706.0,13773.0,1802.0,20715.0,,,3757.0
3122108,Divino das Laranjeiras,4178.0,18444.0,426.0,6360.0,215.0,50.0,265.0
3122207,Divinolândia de Minas,6516.0,4469.0,299.0,5000.0,,,720.0
3122306,Divinópolis,231091.0,48364.0,2513.0,1492000.0,,,49614.0
3122355,Divisa Alegre,6321.0,578.0,91.0,3840.0,,,1189.0
3122405,Divisa Nova,5851.0,12625.0,806.0,10900.0,,,760.0
3122454,Divisópolis,10213.0,12548.0,784.0,9530.0,,,3842.0
3122470,Dom Bosco,3697.0,37595.0,1723.0,13900.0,,,1200.0
3122504,Dom Cavati,4904.0,3563.0,262.0,4050.0,,,553.0
3122603,Dom Joaquim,4899.0,14406.0,710.0,8860.0,,,408.0
3122702,Dom Silvério,5228.0,8914.0,359.0,7400.0,,,2845.0
3122801,Dom Viçoso,3095.0,5695.0,250.0,2325.0,,,620.0
3122900,Dona Euzébia,6093.0,3768.0,72.0,17000.0,1600.0,3000.0,4600.0
3123007,Dores de Campos,10007.0,2952.0,350.0,104000.0,953.3,502.2,1455.5
3123106,Dores de Guanhães,5029.0,17592.0,650.0,10620.0,,,285.0
3123205,Dores do Indaiá,12630.0,72765.0,1748.0,18200.0,,,3453.9
3123304,Dores do Turvo,4987.0,11074.0,1232.0,2530.0,1800.0,150.0,1950.0
3123403,Doresópolis,1461.0,10384.0,716.0,71350.0,,,576.0
3123502,Douradoquara,1829.0,21360.0,1097.0,8050.0,,,512.4
3123528,Durandé,7817.0,5587.0,42.0,4500.0,,,360.0
3123601,Elói Mendes,26336.0,31956.0,1087.0,93200.0,,,6409.4
3123700,Engenheiro Caldas,13622.0,14385.0,439.0,3810.0,,,1410.0
3123809,Engenheiro Navarro,6354.0,24485.0,1264.0,19950.0,,,890.0
3123858,Entre Folhas,5179.0,4257.0,537.0,7730.0,,,220.0
3123908,Entre Rios de Minas,14746.0,24086.0,836.0,17400.0,,,3960.0
3124005,Ervália,20255.0,10743.0,6069.0,570000.0,,,3650.0
3124104,Esmeraldas,85598.0,40282.0,22999.0,316600.0,,,13273.0
3124203,Espera Feliz,24102.0,6865.0,1268.0,20225.0,,,6630.0
3124302,Espinosa,30443.0,35617.0,7000.0,76750.0,,,
3124401,Espírito Santo do Dourado,6611.0,14948.0,1028.0,18750.0,,,768.0
3124500,Estiva,11502.0,19882.0,1778.0,12800.0,,,2057.3
3124609,Estrela Dalva,2186.0,10418.0,174.0,1800.0,653.6,0.0,653.6
3124708,Estrela do Indaiá,2772.0,43025.0,1235.0,26550.0,1350.0,200.0,1550.0
3124807,Estrela do Sul,6840.0,53381.0,968.0,16000.0,860.0,480.0,1340.0
3124906,Eugenópolis,10801.0,20889.0,416.0,14706.0,,,2570.0
3125002,Ewbank da Câmara,3875.0,4260.0,80.0,2225.0,,,590.0
3125101,Extrema,53482.0,9421.0,663.0,8770.0,,,16192.2
3125200,Fama,2578.0,2296.0,392.0,3770.0,,,466.0
3125309,Faria Lemos,3188.0,10795.0,10071.0,2675.0,,,408.0
3125408,Felício dos Santos,5133.0,5313.0,1006.0,29900.0,422.0,94.0,516.0
