cd_rgint,nm_rgint,cd_uf,centroid_lat,centroid_lng
4106,Ponta Grossa,41,-24.776117235178237,-50.33148992413065
4104,Maringá,41,-23.606624398320033,-52.76714176479894
4105,Londrina,41,-23.588156624385444,-50.890714898375705
4102,Guarapuava,41,-25.231363597961316,-51.68590010465338
4103,Cascavel,41,-25.386754083306364,-53.22025490483123
4101,Curitiba,41,-25.573216613672233,-49.60405145094345
1303,Lábrea,13,-7.276167767583873,-63.77720762225113
1304,Parintins,13,-2.9088328647174486,-58.25429802390564
5206,Luziânia - Águas Lindas de Goiás,52,-14.799643905871076,-47.33114165154709
1301,Manaus,13,-1.776012526804843,-63.603948350512965
2702,Arapiraca,27,-9.512613377675203,-37.17210266559252
1302,Tefé,13,-4.528159239251156,-68.70663589727882
5204,São Luís de Montes Belos - Iporá,52,-16.60641805916151,-50.96274470657884
5205,Porangatu - Uruaçu,52,-14.149543663801127,-49.25724343930926
5202,Itumbiara,52,-17.859061077156355,-49.250072575832085
5203,Rio Verde,52,-17.922400756054362,-51.66056863393409
5201,Goiânia,52,-16.15194301054081,-49.509629281831096
2304,Juazeiro do Norte,23,-7.079467198241162,-39.54926442112278
2305,Crateús,23,-5.501264142168232,-40.49860410389788
2302,Quixadá,23,-5.279126905986401,-38.645943677160865
2303,Iguatu,23,-6.272028163952359,-39.38479555280716
2301,Fortaleza,23,-4.127721674859839,-39.19882739636453
2601,Recife,26,-8.123542959197449,-35.3303414175469
2602,Caruaru,26,-8.544533954480906,-36.756517215452035
1703,Gurupi,17,-12.206921447976493,-48.43199024072112
1701,Palmas,17,-10.324164536219712,-48.41550557975815
1702,Araguaína,17,-7.642758976240996,-48.1035161545577
1101,Porto Velho,11,-9.942897176917183,-63.74799380074935
4207,Blumenau,42,-27.059662124650476,-49.435376139674034
1102,Ji-Paraná,11,-11.982631917212949,-61.84324676693297
4205,Caçador,42,-26.83829734882373,-50.99327768235881
4206,Joinville,42,-26.35611309120272,-49.74943460223917
4203,Lages,42,-27.792488254634133,-50.26089434488977
4306,Passo Fundo,43,-28.194637176803738,-52.70470716065284
4204,Chapecó,42,-26.924912754049384,-52.41568643172317
4307,Caxias do Sul,43,-28.817459642980392,-50.921310554242304
4201,Florianópolis,42,-27.72245881141853,-48.88589434451806
4304,Uruguaiana,43,-29.88249445774981,-55.91623855075357
4202,Criciúma,42,-28.59621331895431,-49.36757776479963
4305,Ijuí,43,-28.14014259381372,-54.44087046989266
1402,Rorainópolis - Caracaraí,14,0.832363253012235,-61.14257224353336
4302,Pelotas,43,-31.77265430034342,-53.25687617280757
4303,Santa Maria,43,-29.898712956531583,-54.05987711287596
1401,Boa Vista,14,3.353680232700576,-61.64312878962377
4301,Porto Alegre,43,-30.21318713407173,-51.19685985618522
2801,Aracaju,28,-10.814931426090908,-37.19429617719797
2802,Itabaiana,28,-10.404475284478133,-37.63729026653322
5301,Distrito Federal,53,-15.781166211741136,-47.79685086594252
2403,Mossoró,24,-5.643470886452649,-37.30462836712806
2401,Natal,24,-5.82956150294537,-35.72740853518285
2402,Caicó,24,-6.3831891930165385,-36.84683130615897
3107,Barbacena,31,-21.024766728135035,-43.97388893267581
3108,Varginha,31,-21.04260223614727,-45.967288707313095
3105,Ipatinga,31,-19.589519886692358,-42.480047847883746
2701,Maceió,27,-9.51489793667896,-35.99324704136741
3106,Juíz de Fora,31,-20.998058089748483,-42.810359535428404
3103,Teófilo Otoni,31,-17.225900184333437,-41.75589807498847
3104,Governador Valadares,31,-18.80825962480387,-42.057739702223415
3101,Belo Horizonte,31,-19.151861908943637,-44.0455600652643
3102,Montes Claros,31,-16.10922951669692,-43.94844411367057
3503,Bauru,35,-22.349242514524775,-48.89975403866502
3504,Marília,35,-22.463769694290413,-50.09800287727954
3501,São Paulo,35,-23.732688240908754,-46.58515378875061
3502,Sorocaba,35,-23.931511975817447,-48.295009861186344
2504,Sousa - Cajazeiras,25,-6.822513488547939,-38.37879393379871
5002,Dourados,50,-22.52323215188907,-54.52389334064847
5003,Corumbá,50,-19.77151015240933,-56.63016649513421
3109,Pouso Alegre,31,-22.200108968169587,-45.68503848367434
5001,Campo Grande,50,-19.84485684322259,-53.51766102944273
2908,Juazeiro,29,-9.835678857222202,-41.27160292796846
2909,Paulo Afonso,29,-10.075851196783383,-38.7529564684357
2906,Barreiras,29,-12.562421005240308,-45.105582689796684
2907,Irecê,29,-11.391353005120411,-42.58994422783202
2904,Vitória da Conquista,29,-14.361763996527078,-40.85095266788587
1501,Belém,15,-2.248976833560804,-48.86259776553465
3112,Patos de Minas,31,-17.270527665407503,-46.40255791348141
2905,Guanambi,29,-13.7993787443099,-43.016024824458924
1502,Castanhal,15,-2.457016247060435,-47.39580330301007
3113,Divinópolis,31,-19.804793489329178,-45.24750307510001
2902,Santo Antônio de Jesus,29,-13.158721262908724,-39.307741846023355
3509,Araraquara,35,-21.79328502799253,-48.19476480509779
3110,Uberaba,31,-19.687126154965355,-48.305066276463876
2903,Ilhéus - Itabuna,29,-16.264555029706468,-39.60384106290147
3111,Uberlândia,31,-18.96126696129808,-48.93109139825045
3507,São José do Rio Preto,35,-20.61465541328859,-49.77767950904911
2901,Salvador,29,-12.025274706076617,-38.21746604533589
3508,Ribeirão Preto,35,-20.775735239656065,-48.0042013283116
3505,Presidente Prudente,35,-22.05882756273015,-51.59799435180292
2910,Feira de Santana,29,-12.015029398188803,-40.44218719389419
3506,Araçatuba,35,-21.036069072422517,-50.75210817602548
2104,Presidente Dutra,21,-6.17273472656335,-44.245037846134124
2105,Imperatriz,21,-6.6229999196961105,-46.38835625130887
2102,Santa Inês - Bacabal,21,-3.5704172984580387,-45.73705658046316
2103,Caxias,21,-4.859372485794402,-43.56583344607777
3510,Campinas,35,-22.47582370564024,-47.09940737692375
3511,São José dos Campos,35,-23.069586960137475,-45.30911891153803
2101,São Luís,21,-2.936511172757725,-44.03184837691942
1507,Breves,15,-1.3387688270180165,-50.39063895563457
1505,Santarém,15,-3.2229523706412864,-56.215170879542235
1506,Altamira,15,-4.126436138868211,-53.545567088637306
1503,Marabá,15,-4.9278061525868155,-49.68952257938311
1504,Redenção,15,-7.636678430398874,-51.40171615432622
3204,Cachoeiro do Itapemirim,32,-20.757952508055006,-41.346252092098496
3202,São Mateus,32,-18.918067002034714,-40.123660382922345
3203,Colatina,32,-18.94565802145493,-40.73039662994096
3201,Vitória,32,-20.234737187293277,-40.758019526595405
2306,Sobral,23,-3.758853349525826,-40.54564093991661
1202,Cruzeiro do Sul,12,-8.539503024620965,-71.77333418611714
2603,Serra Talhada,26,-8.190049224893597,-38.13493686298901
5105,Rondonópolis,51,-15.624932330271678,-54.116467237906434
2604,Petrolina,26,-8.289433565658555,-39.9835620020204
1201,Rio Branco,12,-9.940622808114961,-69.06556524239323
5103,Sinop,51,-10.832658029213178,-57.12177561336463
5104,Barra do Garças,51,-12.806300077371352,-52.17705487604227
5101,Cuiabá,51,-14.675517893724528,-56.91633978575319
5102,Cáceres,51,-15.026689723730442,-59.00663082362534
1601,Macapá,16,0.6197959155766537,-52.49192807604323
2205,Corrente - Bom Jesus,22,-9.551571505062777,-44.75681057170324
2206,Floriano,22,-7.78718078177547,-43.89237856971775
2203,Picos,22,-7.481979649095617,-41.45531196987024
2204,São Raimundo Nonato,22,-8.806551302463125,-42.55754287708299
2201,Teresina,22,-5.52805872020885,-42.01325028582468
2202,Parnaíba,22,-3.8522705984037264,-41.741499164379206
2502,Campina Grande,25,-7.330172003765869,-36.37264834413107
2503,Patos,25,-7.040832057885508,-37.71515047523156
4308,Santa Cruz do Sul - Lajeado,43,-29.77424168954333,-52.44293325453957
2501,João Pessoa,25,-6.96423298328614,-35.29719048961975
1602,Oiapoque - Porto Grande,16,1.9837225552637467,-51.61164856712158
3305,Macaé - Rio das Ostras - Cabo Frio,33,-22.43557330375253,-41.95013854781499
3303,Petrópolis,33,-22.129061575693246,-42.608282979263905
3304,Campos dos Goytacazes,33,-21.516862496374188,-41.6359358627393
3301,Rio de Janeiro,33,-22.788295114222027,-43.338136412235734
3302,Volta Redonda - Barra Mansa,33,-22.436725304541458,-43.97275269826461
