CD_GEOCODI,cod_rgint,nome_rgint,area_ha_Algodão_herbáceo_em_caroço,area_ha_Amendoim_em_casca,area_ha_Arroz_em_casca,area_ha_Banana_cacho,area_ha_Batata_doce,area_ha_Batata_inglesa,area_ha_Café_em_grão_Total,area_ha_Cana_de_açúcar,area_ha_Cebola,area_ha_Feijão_em_grão,area_ha_Laranja,area_ha_Mandioca,area_ha_Milho_em_grão,area_ha_Soja_em_grão,area_ha_Sorgo_em_grão,area_ha_Tomate,area_ha_Trigo_em_grão,area_ha_Uva,prod_t_Algodão_herbáceo_em_caroço,prod_t_Amendoim_em_casca,prod_t_Arroz_em_casca,prod_t_Banana_cacho,prod_t_Batata_doce,prod_t_Batata_inglesa,prod_t_Café_em_grão_Total,prod_t_Cana_de_açúcar,prod_t_Cebola,prod_t_Feijão_em_grão,prod_t_Laranja,prod_t_Mandioca,prod_t_Milho_em_grão,prod_t_Soja_em_grão,prod_t_Sorgo_em_grão,prod_t_Tomate,prod_t_Trigo_em_grão,prod_t_Uva,cabecas_Bovino,cabecas_Bubalino,cabecas_Caprino,cabecas_Codornas,cabecas_Equino,cabecas_Galináceos___galinhas,cabecas_Galináceos___total,cabecas_Ovino,cabecas_Suíno___matrizes_de_suínos,cabecas_Suíno___total,rdo_coletado_t,rpu_coletado_t,rdo_rpu_coletado_t,pop_atendida_coleta_hab,coleta_seletiva_t,rss_coletado_t,massa_coletada_per_capita_kg_hab_dia,populacao_censo2022,populacao_total_hab
3556453,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50333,0,467,0,50415,50415
3552809,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,273542,0,4038,0,273542,273542
3552502,3501,São Paulo,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,19.0,242.0,0.0,599.0,938025.0,1146475.0,354.0,0.0,1263.0,0,0,0,307364,0,0,0,307429,307429
3550308,3501,São Paulo,0.0,0.0,0.0,42.0,3.0,0.0,1.0,11.0,0.0,16.0,0.0,8.0,30.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,630.0,36.0,0.0,1.0,220.0,0.0,23.0,0.0,120.0,159.0,0.0,0.0,1118.0,0.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2500.0,0,0,0,0,0,0,0,11451999,11451999
3549953,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14557,0,0,0,16067,16067
3548807,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,165655,0,9057,0,165655,165655
3548708,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,810579,0,0,0,810729,810729
3547809,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,748919,0,0,0,748919,748919
3547304,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,75.0,0.0,200.0,2150.0,3200.0,150.0,200.0,450.0,0,0,0,154105,0,1200,0,154105,154105
3546801,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,11.0,60.0,0.0,980.0,1508.0,1580.0,340.0,5.0,35.0,0,0,0,22654,0,0,0,53174,53174
3545001,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,300.0,0.0,0.0,4620.0,36.0,30.0,0.0,362.0,0.0,0.0,392.0,7.0,66.0,0,0,0,15202,5757,28,0,15202,15202
3544103,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,25.0,100.0,300.0,0.0,0.0,0.0,0,0,0,4417,0,200,0,44170,44170
3543303,3501,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0,0.0,550.0,2000.0,0.0,0.0,0.0,0,0,0,115559,4316,1247,0,115559,115559
