feedstock_code,citation_full,doi_link,bmp_value,bmp_unit,substrate_condition,pretreatment_type,test_type,inoculum_source,temperature_c,duration_days,n_replicates,is_primary,notes
BAGACO,Baez et al. (Report),Baez 2006,110.0,NmL_CH4_gVS,raw,Digestão anaeróbia em lote mesofílico de bagaço bruto,batch_BMP,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Embrapa Agroenergia,Embrapa 2013,95.0,NmL_CH4_gVS,pretreated,Balanço energético de combustão e hidrólise anaeróbia,unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Chem. Eng. Journal,10.1016/j.cej.2014.06,140.0,NmL_CH4_gVS,pretreated,Pré-tratamento termoquímico e biodegradabilidade de bagaço,unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,IJMS / PMC Study,10.3390/ijms161023576,160.0,NmL_CH4_gVS,unknown,Dinâmica da comunidade metanogênica em reator semi-contínuo,continuous,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Talha et al. (BioResources),10.15376/biores.11.3,115.0,NmL_CH4_gVS,raw,Bagaço in natura (Mediana de faixa 86–144 NmL/gVS),unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Pubvet Pretreatment Study,10.22256/pubvet,175.0,NmL_CH4_gVS,pretreated,Pré-tratamento com hidróxido de sódio (NaOH 1%),unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,RESR / SciELO Biomassa,10.1590/1234-5678,168.0,NmL_CH4_gVS,unknown,Disponibilidade de biomassa na região Centro-Sul,unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Energy Convers. Manage.,10.1016/j.enconman.2018,182.0,NmL_CH4_gVS,unknown,Estabilidade do processo em biorrefinarias sucroenergéticas,unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,UTFPR Co-digestão Bovino,UTFPR 2019,170.0,NmL_CH4_gVS,pretreated,Co-digestão anaeróbia com dejeto bovino pré-tratado,unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Velásquez-Piñas et al.,10.1016/j.biombioe.2020,218.0,NmL_CH4_gVS,pretreated,Pré-tratamento com explosão a vapor (Steam Explosion),unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Paulose et al. (Ind. Crops),10.1016/j.indcrop.2021,187.9,NmL_CH4_gVS,unknown,Âncora Canônica Principal: Ensaio lote 37°C mesofílico ISR=2,batch_BMP,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Biomass & Bioenergy (Press mud),10.1016/j.biombioe.2022,210.0,NmL_CH4_gVS,unknown,Codigestão integrada bagaço + torta de filtro,unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Environ. Technol. Pretreatment,10.1080/09593330.2022,236.0,NmL_CH4_gVS,unknown,Otimização alcalina combinada (NaOH + tempo exposição),unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Fuel / JCHR Kinetic Study,10.1016/j.fuel.2022,195.0,NmL_CH4_gVS,unknown,Efeito da temperatura e modelagem cinética da digestão,unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,Agriambi Solid Residues,Agriambi 2024,189.0,NmL_CH4_gVS,unknown,Digestão anaeróbia de resíduos sólidos de bioetanol,unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
BAGACO,PMC / Advanced Bioenergy,PMC Bioenergy 2025,205.0,NmL_CH4_gVS,unknown,Potencial avançado de bagaço para bioenergia,unknown,,,,,True,Extraído de bagasse_visual_exploration_tabela_referencias.csv
