review_status,corrected_doi,corrected_url,flags,feedstock_codes,citation,year,doi,url,peer_reviewed,source_ids,reviewer_notes
,,,MISSING_DOI;NEEDS_URL;NOT_PEER_REVIEWED,CASCA_SOJA,"Valor nutricional da casca do grão de soja, farelo de soja, milho moído e farelo de trigo para bovinos",2001,,,False,90,
,,,MISSING_DOI;NEEDS_URL;NOT_PEER_REVIEWED,FORSU,Energia de Biogás da Digestão Anaeróbia de Resíduos Sólidos Orgânicos e de Aterros Sanitários,2016,,,False,314,
,,,MISSING_DOI;NEEDS_URL;NOT_PEER_REVIEWED,FORSU,Metanização de RSU - Túneis de Metanização de Batelada Sequenciais,2016,,,False,315,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Caracterização Química de Bagaço de Cana-de-Açúcar: Relatório Técnico,2020,,https://lnbr.cnpem.br/wp-content/uploads/2020/12/Relatorio-Tecnico-Parcial-1_Apendice-2.pdf,False,101,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Produção de biogás a partir de bagaço de cana-de-açúcar,2021,,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/1158431/1/Producao-de-biogas-a-partir-de-bagaco.pdf,False,114,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Anaerobic digestion of sugarcane bagasse for biogas production: Review,2022,,https://pubmed.ncbi.nlm.nih.gov/35134407/,False,128,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Unlocking the potential of sugarcane bagasse for advanced bioenergy,2025,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12170471/,False,129,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Harnessing sugarcane bagasse for bioenergy production,2024,,https://www.sciencedirect.com/science/article/abs/pii/S2213138824004703,False,130,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Autohydrolysis of sugarcane bagasse with water reuse,2021,,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/1164558/1/Autohydrolysis-of-sugarcane-bagasse-with-water-reuse.pdf,False,132,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Bagaço de Cana-de-Açúcar no Brasil: Produção e Disponibilidade,2019,,https://proceedings.science/permanencia-2019/trabalhos/bagaco-de-cana-de-acucar-no-brasil-producao-e-disponibilidade-no-cenario,False,134,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Palha e bagaço de cana-de-açúcar: Caracterização e potencial,2023,,https://lnbr.cnpem.br/biovalue/biomassas/palha-bagaco/,False,136,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Bagaço de Cana na Alimentação e Indústria: Dados de produção,2021,,https://agroceresmultimix.com.br/blog/por-dentro-do-cocho-bagaco-de-cana-na-alimentacao-de-bovinos-de-corte/,False,137,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Combustão do bagaço da cana-de-açúcar: Modelo energético brasileiro,2013,,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/972239/1/ResumoAgroenergia2013003.pdf,False,138,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Caracterização de cinzas de bagaço de cana como matéria-prima cerâmica,2012,,https://abceram.org.br/wp-content/uploads/area_associado/56/PDF/01-026.pdf,False,139,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO,Processamento e queima de palha de cana-de-açúcar,2020,,https://lnbr.cnpem.br/wp-content/uploads/2020/09/Cartilha-Ind%C3%BAstria.pdf,False,140,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO_CITROS,Produção de biogás a partir de bagaço de laranja,,,https://www.journals.ufrpe.br/index.php/geama/article/view/2139,False,15;17;248,
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO_CITROS,Caracterização química do bagaço de laranja,2017,,https://pdf.blucher.com.br/chemicalengineeringproceedings/cobeq2018/PT.0079.pdf,False,249,
