feedstock_codes,citation,url,doi,year,peer_reviewed,needs_url,suspect_doi_reuse,source_ids
BAGACO,Caracterização Química de Bagaço de Cana-de-Açúcar: Relatório Técnico,https://lnbr.cnpem.br/wp-content/uploads/2020/12/Relatorio-Tecnico-Parcial-1_Apendice-2.pdf,,2020,False,False,False,101
BAGACO,Optimization of chemical solution concentration and exposure time in alkaline pretreatment of sugarcane bagasse for methane production,https://doi.org/10.1080/09593330.2022.2046645,10.1080/09593330.2022.2046645,2023,True,False,False,112
BAGACO,Investigating Kinetic Parameters in the Anaerobic Digestion of Sugarcane Bagasse,https://jchr.org/index.php/JCHR/article/view/7124,,2024,True,False,False,113
BAGACO,Produção de biogás a partir de bagaço de cana-de-açúcar,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/1158431/1/Producao-de-biogas-a-partir-de-bagaco.pdf,,2021,False,False,False,114
BAGACO,Anaerobic mono-digestion of sugarcane trash and bagasse with and without pretreatment,https://www.sciencedirect.com/science/article/pii/S0926669021004763,10.1016/j.biortech.2021.125263,2021,True,False,False,115
BAGACO,Produção de Biogás a partir de Bagaço de Cana,https://repositorio.ufu.br/bitstream/123456789/27087/1/Produ%C3%A7%C3%A3o%20Biog%C3%A1s%20Baga%C3%A7o%20.pdf,,2020,True,False,False,116
BAGACO,Hydrothermal Pretreatment as a Strategy for the Valorization of Sugarcane Bagasse,https://www.scielo.br/j/babt/a/t6f7cRhCns3XKnY85YY9XgJ/?lang=en,10.1590/1678-4324-2022210116,2022,True,False,False,118
BAGACO,"A systematic evaluation of biomethane production from sugarcane trash pretreated by liquid hot water, dilute acid and potassium hydroxide",https://www.sciencedirect.com/science/article/abs/pii/S0960852420314115,10.1016/j.biortech.2020.124115,2021,True,False,False,119
BAGACO,Improved Monitoring of Semi-Continuous Anaerobic Digestion of Sugarcane Waste: Effects of Increasing OLR on Methanogenic Community Dynamics,https://pmc.ncbi.nlm.nih.gov/articles/PMC4632694/,10.3390/ijms161023576,2015,True,False,False,120
BAGACO,Kinetic study of the enzymatic hydrolysis of sugarcane bagasse,https://www.scielo.br/j/bjce/a/dYMPGyrt3F8hJ3TPPrTZPHK/?lang=en,10.1590/S0104-66322013000400003,2013,True,False,False,121
BAGACO,Press mud and bagasse from sugar mill: Cumulative effect of anaerobic co-digestion integrated with pre-treatment on overall performance,https://www.sciencedirect.com/science/article/abs/pii/S0961953422002872,10.1016/j.biombioe.2022.106555,2022,True,False,False,122
BAGACO,Effect of temperature and bagasse addition on anaerobic digestion: Kinetic modeling comparison,https://www.sciencedirect.com/science/article/abs/pii/S0016236123023517,10.1016/j.fuel.2022.123517,2024,True,False,False,123
BAGACO,Biogas production from solid residues generated in ethanol production,https://www.scielo.br/j/rbeaa/a/Fr4PtJxb5psRPVVJfC6SXHn/?lang=en,10.1590/1807-1929/agriambi.v28n10e279371,2024,True,False,False,124
BAGACO,A review of biogas production from sugarcane vinasse,https://www.sciencedirect.com/science/article/abs/pii/S0961953419300431,10.1016/j.biombioe.2019.03.034,2019,True,False,False,125
BAGACO,Year-round biogas production in sugarcane biorefineries: Process stability and optimization,https://www.sciencedirect.com/science/article/abs/pii/S0196890418304497,10.1016/j.enconman.2018.04.049,2018,True,False,False,126
BAGACO,Thermodynamics of volatile fatty acid degradation during anaerobic digestion,https://www.sciencedirect.com/science/article/abs/pii/S0043135422001506,10.1016/j.watres.2022.118166,2022,True,False,False,127
BAGACO,Anaerobic digestion of sugarcane bagasse for biogas production: Review,https://pubmed.ncbi.nlm.nih.gov/35134407/,,2022,False,False,False,128
