ibge_code,municipality_name,population_2022,co111_rdo_t_2022,co115_rpu_t_2022,co119_rdo_rpu_t_2022,es006_treated_sewage_1000m3_2022,es006_provider_rows
3500105,Adamantina,34687.0,,,10723.0,2397.8,1
3500204,Adolfo,4351.0,,,1170.0,255.4,1
3500303,Aguaí,32072.0,5000.0,2159.0,7159.0,648.0,1
3500402,Águas da Prata,7369.0,,,1182.0,538.2,1
3500501,Águas de Lindóia,17930.0,,,5797.1,1105.23,1
3500550,Águas de Santa Bárbara,7177.0,,,1546.8,303.6,1
3500600,Águas de São Pedro,2780.0,1399.5,1600.0,2999.5,519.9,1
3500709,Agudos,37680.0,,,13450.0,2360.47,1
3500758,Alambari,6141.0,950.0,50.0,1000.0,199.8,1
3500808,Alfredo Marcondes,4445.0,,,1692.0,280.38,1
3500907,Altair,3451.0,,,,185.2,1
3501004,Altinópolis,16818.0,4136.6,1854.0,5990.6,990.0,1
3501103,Alto Alegre,3841.0,,,532.0,211.4,1
3501152,Alumínio,17301.0,,,5596.5,525.3,1
3501202,Álvares Florence,3915.0,,,595.3,123.37,1
3501301,Álvares Machado,27255.0,6701.4,240.0,6941.4,1571.8,1
3501400,Álvaro de Carvalho,4808.0,,,756.0,163.6,1
3501509,Alvinlândia,2885.0,,,116.5,151.37,1
3501608,Americana,237240.0,,,81113.1,15022.44,1
3501707,Américo Brasiliense,33019.0,,,7133.0,,0
3501806,Américo de Campos,5870.0,3000.0,1800.0,4800.0,394.0,1
3501905,Amparo,68008.0,,,16182.7,1846.69,1
3502002,Analândia,4589.0,,,1311.0,45.0,1
3502101,Andradina,59783.0,15600.0,0.0,15600.0,1280.0,1
3502200,Angatuba,24022.0,,,3511.0,851.9,1
3502309,Anhembi,5674.0,,,1700.0,286.89,1
3502408,Anhumas,4023.0,,,997.3,220.0,1
3502507,Aparecida,32569.0,,,9966.0,,0
3502606,Aparecida d'Oeste,4086.0,,,547.0,247.8,1
3502705,Apiaí,24585.0,,,4255.0,707.0,1
3502754,Araçariguama,21522.0,,,6000.0,611.7,1
3502804,Araçatuba,200124.0,,,61418.0,15197.0,1
3502903,Araçoiaba da Serra,32443.0,,,10677.1,631.0,1
3503000,Aramina,5420.0,1475.7,34.0,1509.7,924.98,1
3503109,Arandu,6885.0,,,3600.0,292.0,1
3503158,Arapeí,2330.0,,,337.0,89.5,1
3503208,Araraquara,242228.0,,,63718.1,27957.64,1
3503307,Araras,130866.0,,,28000.0,9892.04,1
3503356,Arco-Íris,2044.0,,,350.0,82.67,1
3503406,Arealva,8130.0,2080.0,250.0,2330.0,442.9,1
3503505,Areias,3577.0,,,120.0,,0
3503604,Areiópolis,10130.0,,,2935.0,534.6,1
3503703,Ariranha,7602.0,1965.0,13.0,1978.0,418.0,1
3503802,Artur Nogueira,51456.0,,,12982.3,1944.07,1
3503901,Arujá,86678.0,,,30800.0,2722.34,1
3503950,Aspásia,1842.0,,,424.4,95.89,1
3504008,Assis,101409.0,25218.5,6500.0,31718.5,6502.3,1
3504107,Atibaia,158647.0,48946.0,1538.0,50484.0,6404.93,1
3504206,Auriflama,13692.0,,,,860.2,1
3504305,Avaí,4483.0,,,889.0,195.9,1
3504404,Avanhandava,11263.0,,,1500.0,704.2,1
3504503,Avaré,92805.0,,,35000.0,5104.7,1
3504602,Bady Bassitt,27260.0,,,8350.0,796.73,1
3504701,Balbinos,3887.0,568.0,11.0,579.0,76.36,1
3504800,Bálsamo,9596.0,,,2100.0,695.0,1
3504909,Bananal,9969.0,300.0,80.0,380.0,390.7,1
3505005,Barão de Antonina,3531.0,832.0,288.0,1120.0,124.2,1
3505104,Barbosa,5640.0,,,2100.0,272.07,1
3505203,Bariri,31595.0,,,9000.0,1891.45,1
3505302,Barra Bonita,34346.0,3300.0,2880.0,6180.0,415.0,1
