feedstock,n_bmp_obs,bmp_min,bmp_median,bmp_max,example_source_url
BAGACO,6,44.0,191.9,236.0,https://www.sciencedirect.com/science/article/pii/S0926669021004763
BAGACO_CITROS,10,85.92,289.0,537.0,https://www.journals.ufrpe.br/index.php/geama/article/view/2139
CAMA_AVIARIO,1,300.0,300.0,300.0,https://doi.org/10.1016/j.biortech.2012.02.044
CASCAS_CITROS,1,398.0,398.0,398.0,https://doi.org/10.1016/j.bej.2015.12.028
CASCA_CAFE,2,131.67,163.8,196.0,https://pubmed.ncbi.nlm.nih.gov/29328934/
CASCA_EUCALIPTO,1,100.0,100.0,100.0,https://doi.org/10.1016/j.biortech.2016.04.037
CASCA_MILHO,30,220.0,307.0,485.0,https://doi.org/10.1016/j.biosystemseng.2015.10.004
DEJETOS_AVES,2,320.0,414.0,508.0,https://www.sciencedirect.com/science/article/abs/pii/S0961953420302270
DEJETOS_SUINO,10,72.87,265.0,340.0,https://doi.org/10.1016/j.wasman.2023.05.007
ESTERCO_BOVINO_FRESCO,6,220.0,245.0,375.0,https://www.ibeas.org.br/conresol/conresol2024/IV-005.pdf
FORSU,9,380.0,472.0,655.0,https://doi.org/10.1016/j.wasman.2016.05.016
GORDURA,2,800.0,859.0,918.0,https://www.infoteca.cnptia.embrapa.br/infoteca/handle/doc/1130673
LEVEDURA,1,699.0,699.0,699.0,https://link.springer.com/article/10.1007/s12649-019-00834-3
LODO_PRIMARIO,11,152.0,370.0,918.66,https://doi.org/10.1016/j.biortech.2012.01.025
LODO_SECUNDARIO,8,218.0,310.0,823.0,https://doi.org/10.3390/w11050921
PALHA,14,130.0,293.5,605.0,https://doi.org/10.1016/j.wasman.2021.05.034
PALHA_MILHO,31,44.0,390.0,725.0,https://doi.org/10.1177/0734242X211038185
POLPA_CAFE,1,317.0,317.0,317.0,http://scielo.sld.cu/pdf/caz/v49n2/2223-4861-caz-49-02-60.pdf
SABUGO,13,170.0,255.0,380.0,https://doi.org/10.1016/j.wasman.2017.11.004
SORO_QUEIJO,12,101.0,453.5,861.2,https://centaur.reading.ac.uk/123302/1/GSOL_A_2505444_O.pdf
TORTA_FILTRO,14,92.8,365.0,861.0,https://www.sciencedirect.com/science/article/pii/S0960148119307451
VAGEM_SOJA,1,220.0,220.0,220.0,https://doi.org/10.1016/j.biombioe.2014.11.025
VINHACA,7,49.0,180.0,968.0,https://www.ajer.org/papers/Vol-7-issue-6/T0706160169.pdf
VISCERAS,3,611.5,650.9,711.2,https://www.sciencedirect.com/science/article/pii/S0960148116310291
