residue_stream,method,total_tons_yr,legacy_biogas_m3_yr,canonical_biogas_min,canonical_biogas_medio,canonical_biogas_max,delta_medio_vs_legacy_pct
aquaculture,legacy_carried,0.0,130281.0,130281.0,130281.0,130281.0,0.0
cattle,legacy_carried,11186668.5,1454267024.0,1454267024.0,1454267024.0,1454267024.0,0.0
citrus,forward_canonical,15008242.7,285156605.0,373598041.4,976393389.4,2030508035.4,242.4
coffee,forward_canonical,340283.3,95279430.0,38102342.4,67221206.0,100558995.4,-29.4
corn,forward_canonical,6481983.1,1361216163.0,965226210.8,1911548601.6,2927499276.5,40.4
forestry,legacy_carried,0.0,599802082.0,599802082.0,599802082.0,599802082.0,0.0
poultry,legacy_carried,205686533.0,308529800.0,308529800.0,308529800.0,308529800.0,0.0
rpo_pruning,legacy_carried,0.0,31204438.0,31204438.0,31204438.0,31204438.0,0.0
rsu_organic,legacy_carried,0.0,1556169771.0,1556169771.0,1556169771.0,1556169771.0,0.0
soybean,forward_canonical,6115419.8,1223083878.0,1935408058.3,2791967112.3,3811552139.3,128.3
sugarcane,forward_canonical,247212219.3,12382565911.0,14828519313.4,27400777648.8,63306105118.3,121.3
swine,legacy_carried,1587613.0,603292940.0,603292940.0,603292940.0,603292940.0,0.0
