estimate_id,source,year,biomethane_Mm3_day,biomethane_Bn_Nm3_year,substrates_covered,scope_basis,method,scale_cutoff_Nm3_day,is_pilar,provenance
anp_2024_operational,ANP — produção operante,2024,0.40,0.15,operante (todas as rotas autorizadas),plantas em operação,medição regulatória (não é potencial),,no,extrato FIESP 2025 (usuário 2026-07-26)
pilar2b_2026_fiesp_subset,PILAR-2b — subconjunto comparável à FIESP,2026,0.61,0.22,vinhaça + torta de filtro + RSU,potencial municipal (645 municípios SP),forward canônico (BMP×TS×VS×FDE),,yes,docs/data/estado_2026-07-26_lote2.json
pilar2b_2026_fiesp_subset_with_bagasse,PILAR-2b — subconjunto + bagaço,2026,2.23,0.81,vinhaça + torta + RSU + bagaço,potencial municipal (645 municípios SP),forward canônico (BMP×TS×VS×FDE),,yes,docs/data/estado_2026-07-26_lote2.json
pilar2b_2026_all_feedstocks,PILAR-2b — todos os substratos,2026,3.53,1.29,26 substratos parametrizados; 14 streams somados,potencial municipal (645 municípios SP),forward canônico (BMP×TS×VS×FDE),,yes,docs/data/estado_2026-07-26_lote2.json
fiesp_2025_discounted,FIESP / Instituto 17 / PSR / Amplun — Cenário 2,2025,4.75,1.72,vinhaça + torta de filtro + RSU aterro,potencial por planta elegível (158 plantas),fatores por tonelada + IPCC 2006 (aterro); desconta biogás já usado para energia elétrica,4800,no,FIESP Tabela 11 p.31
fiesp_2025_headline,FIESP / Instituto 17 / PSR / Amplun — Cenário 1,2025,6.40,2.34,vinhaça + torta de filtro + RSU aterro,potencial por planta elegível (181 plantas),fatores por tonelada + IPCC 2006 (aterro),4800,no,FIESP Tabela 10 p.29-30
instituto17_bep_2021,Instituto 17 / BEP UK,2021,8.20,2.99,não declarado no extrato,não declarado,não declarado,,no,tabulado pela FIESP 2025
semil_sp_2023,SEMIL/SP,2023,9.80,3.58,não declarado no extrato,não declarado,não declarado,,no,tabulado pela FIESP 2025
coelho_usp_2020,Coelho et al. / USP,2020,23.60,8.61,não declarado no extrato,não declarado,não declarado,,no,tabulado pela FIESP 2025
abiogas_2020,ABiogás,2020,36.40,13.29,não declarado no extrato,não declarado,não declarado,,no,tabulado pela FIESP 2025
gef_biogas_brasil,GEF Biogás Brasil,,42.50,15.50,não declarado no extrato,não declarado,não declarado,,no,tabulado pela FIESP 2025
