column_name,description,unit_real,source,source_year,is_derived,generator_script
CD_GEOCODI,código IBGE do município,código,IBGE,2023,False,Notebook 31 (merge final)
cod_rgint,código da RGINT,código,NIPE/Serasa,2023,False,Notebook 31 (merge final)
nome_rgint,nome da RGINT,texto,NIPE/Serasa,2023,False,Notebook 31 (merge final)
area_ha_Cana_de_açúcar,área colhida de cana-de-açúcar,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Cana_de_açúcar,produção de cana-de-açúcar,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Soja_em_grão,área colhida de soja,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Soja_em_grão,produção de soja,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Milho_em_grão,área colhida de milho (1ª e 2ª safras),ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Milho_em_grão,produção de milho (1ª e 2ª safras),t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
cabecas_Bovino,efetivo de bovinos,cabeças,PPM/IBGE 2023,2023,False,Notebook 31 (merge final)
cabecas_Suíno___total,efetivo de suínos (total),cabeças,PPM/IBGE 2023,2023,False,Notebook 31 (merge final)
cabecas_Galináceos___total,efetivo de galináceos (total),cabeças,PPM/IBGE 2023,2023,False,Notebook 31 (merge final)
populacao_total_hab,população total do município,habitantes,Censo 2022 (IBGE),2023,False,Notebook 31 (merge final)
rdo_coletado_t,resíduos domiciliares coletados (RDO),t/ano,SNIS 2022,2022,False,Notebook 31 (merge final)
rdo_rpu_coletado_t,resíduos domiciliares + públicos coletados,t/ano,SNIS 2022,2022,False,Notebook 31 (merge final)
coleta_seletiva_t,total recolhido por coleta seletiva,t/ano,SNIS 2022,2022,False,Notebook 31 (merge final)
rss_coletado_t,resíduos de serviços de saúde coletados,t/ano,SNIS 2022,2022,False,Notebook 31 (merge final)
area_ha_Algodão_herbáceo_em_caroço,área colhida de Algodão herbáceo em caroço,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Amendoim_em_casca,área colhida de Amendoim em casca,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Arroz_em_casca,área colhida de Arroz em casca,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Banana_cacho,área colhida de Banana cacho,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Batata_doce,área colhida de Batata doce,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Batata_inglesa,área colhida de Batata inglesa,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Café_em_grão_Total,área colhida de Café em grão Total,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Cebola,área colhida de Cebola,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Feijão_em_grão,área colhida de Feijão em grão,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Laranja,área colhida de Laranja,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Mandioca,área colhida de Mandioca,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Sorgo_em_grão,área colhida de Sorgo em grão,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Tomate,área colhida de Tomate,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Trigo_em_grão,área colhida de Trigo em grão,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
area_ha_Uva,área colhida de Uva,ha,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Algodão_herbáceo_em_caroço,produção de Algodão herbáceo em caroço,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Amendoim_em_casca,produção de Amendoim em casca,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Arroz_em_casca,produção de Arroz em casca,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Banana_cacho,produção de Banana cacho,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Batata_doce,produção de Batata doce,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Batata_inglesa,produção de Batata inglesa,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Café_em_grão_Total,produção de Café em grão Total,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Cebola,produção de Cebola,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Feijão_em_grão,produção de Feijão em grão,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Laranja,produção de Laranja,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Mandioca,produção de Mandioca,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Sorgo_em_grão,produção de Sorgo em grão,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Tomate,produção de Tomate,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Trigo_em_grão,produção de Trigo em grão,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
prod_t_Uva,produção de Uva,t,PAM/IBGE 2023,2023,False,Notebook 31 (merge final)
cabecas_Bubalino,efetivo de Bubalino,cabeças,PPM/IBGE 2023,2023,False,Notebook 31 (merge final)
cabecas_Caprino,efetivo de Caprino,cabeças,PPM/IBGE 2023,2023,False,Notebook 31 (merge final)
cabecas_Codornas,efetivo de Codornas,cabeças,PPM/IBGE 2023,2023,False,Notebook 31 (merge final)
cabecas_Equino,efetivo de Equino,cabeças,PPM/IBGE 2023,2023,False,Notebook 31 (merge final)
